Question,Predicted,answers,label,llm_output
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Соединенные Штаты.
Вопрос: В какой стране живет Джордж Вашингтон?",В стране Соединенные Штаты.,Соединенные Штаты,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Индия.
Вопрос: В какой стране живет Джордж Вашингтон?",В стране Индия живет Джордж Вашингтон.,Индия,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Китай.
Вопрос: В какой стране живет Джордж Вашингтон?",В стране Китай живет Джордж Вашингтон.,Китай,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Россия.
Вопрос: В какой стране живет Джордж Вашингтон?",В стране Россия живет Джордж Вашингтон.,Россия,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Саудовская Аравия.
Вопрос: В какой стране живет Джордж Вашингтон?",В стране Саудовская Аравия живет Джордж Вашингтон.,Саудовская Аравия,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Франция.
Вопрос: В какой стране живет Джордж Вашингтон?",В стране Франции живет Джордж Вашингтон.,Франция,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Непал.
Вопрос: В какой стране живет Джордж Вашингтон?",В стране Непал живет Джордж Вашингтон.,Непал,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Япония.
Вопрос: В какой стране живет Джордж Вашингтон?",В стране Япония живет Джордж Вашингтон.,Япония,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Украина.
Вопрос: В какой стране живет Джордж Вашингтон?",В стране Украина живет Джордж Вашингтон.,Украина,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Греция.
Вопрос: В какой стране живет Джордж Вашингтон?",В стране Греции живет Джордж Вашингтон.,Греция,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Турция.
Вопрос: В какой стране живет Джордж Вашингтон?",В стране Турции живет Джордж Вашингтон.,Турция,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Кения.
Вопрос: В какой стране живет Джордж Вашингтон?",В стране Кения живет Джордж Вашингтон.,Кения,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Таиланд.
Вопрос: В какой стране живет Джордж Вашингтон?",В стране Таиланд живет Джордж Вашингтон.,Таиланд,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Соединенные Штаты.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране Соединенные Штаты.,Соединенные Штаты,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Индия.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране Индия.,Индия,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Китай.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране Китай.,Китай,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Россия.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране России.,Россия,Russian,"Response: The assistant's response is in Russian and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Саудовская Аравия.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране Саудовская Аравия.,Саудовская Аравия,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Франция.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране Франция.,Франция,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Непал.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране Непал.,Непал,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Япония.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране Япония.,Япония,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Украина.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране Украины.,Украина,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Греция.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране Греции.,Греция,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
