Question,Predicted,answers,label,llm_output
"คำแนะนำ: ตอบคำถามตามข้อเท็จจริงที่กำหนดให้
ข้อเท็จจริง: จอร์จ วอชิงตัน อาศัยอยู่ในประเทศ ประเทศสหรัฐอเมริกา
คำถาม: จอร์จ วอชิงตัน อาศัยอยู่ที่ประเทศใด",จอร์จ วอชิงตัน อาศัยอยู่ในประเทศสหรัฐอเมริกา.,ประเทศสหรัฐอเมริกา,Thai,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"คำแนะนำ: ตอบคำถามตามข้อเท็จจริงที่กำหนดให้
ข้อเท็จจริง: จอร์จ วอชิงตัน อาศัยอยู่ในประเทศ อินเดีย
คำถาม: จอร์จ วอชิงตัน อาศัยอยู่ที่ประเทศใด",จอร์จ วอชิงตัน อาศัยอยู่ในประเทศ อินเดีย.,อินเดีย,Thai,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"คำแนะนำ: ตอบคำถามตามข้อเท็จจริงที่กำหนดให้
ข้อเท็จจริง: จอร์จ วอชิงตัน อาศัยอยู่ในประเทศ จีน
คำถาม: จอร์จ วอชิงตัน อาศัยอยู่ที่ประเทศใด",จอร์จ วอชิงตัน อาศัยอยู่ในประเทศ จีน.,จีน,Thai,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"คำแนะนำ: ตอบคำถามตามข้อเท็จจริงที่กำหนดให้
ข้อเท็จจริง: จอร์จ วอชิงตัน อาศัยอยู่ในประเทศ รัสเซีย
คำถาม: จอร์จ วอชิงตัน อาศัยอยู่ที่ประเทศใด",จอร์จ วอชิงตัน อาศัยอยู่ในประเทศ รัสเซีย.,รัสเซีย,Thai,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"คำแนะนำ: ตอบคำถามตามข้อเท็จจริงที่กำหนดให้
ข้อเท็จจริง: จอร์จ วอชิงตัน อาศัยอยู่ในประเทศ ซาอุดิอาระเบีย
คำถาม: จอร์จ วอชิงตัน อาศัยอยู่ที่ประเทศใด",จอร์จ วอชิงตัน อาศัยอยู่ในประเทศ ซาอุดิอาระเบีย.,ซาอุดิอาระเบีย,Thai,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"คำแนะนำ: ตอบคำถามตามข้อเท็จจริงที่กำหนดให้
ข้อเท็จจริง: จอร์จ วอชิงตัน อาศัยอยู่ในประเทศ ฝรั่งเศส
คำถาม: จอร์จ วอชิงตัน อาศัยอยู่ที่ประเทศใด",จอร์จ วอชิงตัน อาศัยอยู่ในประเทศฝรั่งเศส.,ฝรั่งเศส,Thai,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"คำแนะนำ: ตอบคำถามตามข้อเท็จจริงที่กำหนดให้
ข้อเท็จจริง: จอร์จ วอชิงตัน อาศัยอยู่ในประเทศ เนปาล
คำถาม: จอร์จ วอชิงตัน อาศัยอยู่ที่ประเทศใด",จอร์จ วอชิงตัน อาศัยอยู่ในประเทศเนปาล.,เนปาล,Thai,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"คำแนะนำ: ตอบคำถามตามข้อเท็จจริงที่กำหนดให้
ข้อเท็จจริง: จอร์จ วอชิงตัน อาศัยอยู่ในประเทศ ประเทศญี่ปุ่น
คำถาม: จอร์จ วอชิงตัน อาศัยอยู่ที่ประเทศใด",จอร์จ วอชิงตัน อาศัยอยู่ในประเทศ ประเทศญี่ปุ่น.,ประเทศญี่ปุ่น,Thai,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"คำแนะนำ: ตอบคำถามตามข้อเท็จจริงที่กำหนดให้
ข้อเท็จจริง: จอร์จ วอชิงตัน อาศัยอยู่ในประเทศ ยูเครน
คำถาม: จอร์จ วอชิงตัน อาศัยอยู่ที่ประเทศใด",จอร์จ วอชิงตัน อาศัยอยู่ในประเทศ ยูเครน.,ยูเครน,Thai,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"คำแนะนำ: ตอบคำถามตามข้อเท็จจริงที่กำหนดให้
ข้อเท็จจริง: จอร์จ วอชิงตัน อาศัยอยู่ในประเทศ กรีซ
คำถาม: จอร์จ วอชิงตัน อาศัยอยู่ที่ประเทศใด",จอร์จ วอชิงตัน อาศัยอยู่ในประเทศ กรีซ.,กรีซ,Thai,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"คำแนะนำ: ตอบคำถามตามข้อเท็จจริงที่กำหนดให้
ข้อเท็จจริง: จอร์จ วอชิงตัน อาศัยอยู่ในประเทศ ไก่งวง
คำถาม: จอร์จ วอชิงตัน อาศัยอยู่ที่ประเทศใด",จอร์จ วอชิงตัน อาศัยอยู่ในประเทศไก่งวง.,ไก่งวง,Thai,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"คำแนะนำ: ตอบคำถามตามข้อเท็จจริงที่กำหนดให้
ข้อเท็จจริง: จอร์จ วอชิงตัน อาศัยอยู่ในประเทศ เคนย่า
คำถาม: จอร์จ วอชิงตัน อาศัยอยู่ที่ประเทศใด",จอร์จ วอชิงตัน อาศัยอยู่ในประเทศเคนย่า.,เคนย่า,Thai,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"คำแนะนำ: ตอบคำถามตามข้อเท็จจริงที่กำหนดให้
ข้อเท็จจริง: จอร์จ วอชิงตัน อาศัยอยู่ในประเทศ ประเทศไทย
คำถาม: จอร์จ วอชิงตัน อาศัยอยู่ที่ประเทศใด",จอร์จ วอชิงตัน อาศัยอยู่ในประเทศไทย.,ประเทศไทย,Thai,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"คำแนะนำ: ตอบคำถามตามข้อเท็จจริงที่กำหนดให้
ข้อเท็จจริง: อับราฮัม ลินคอล์น อาศัยอยู่ในประเทศ ประเทศสหรัฐอเมริกา
คำถาม: อับราฮัม ลินคอล์น อาศัยอยู่ที่ประเทศใด",อับราฮัม ลินคอล์น อาศัยอยู่ในประเทศสหรัฐอเมริกา.,ประเทศสหรัฐอเมริกา,Thai,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"คำแนะนำ: ตอบคำถามตามข้อเท็จจริงที่กำหนดให้
ข้อเท็จจริง: อับราฮัม ลินคอล์น อาศัยอยู่ในประเทศ อินเดีย
คำถาม: อับราฮัม ลินคอล์น อาศัยอยู่ที่ประเทศใด",อับราฮัม ลินคอล์น อาศัยอยู่ในประเทศ อินเดีย.,อินเดีย,Thai,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"คำแนะนำ: ตอบคำถามตามข้อเท็จจริงที่กำหนดให้
ข้อเท็จจริง: อับราฮัม ลินคอล์น อาศัยอยู่ในประเทศ จีน
คำถาม: อับราฮัม ลินคอล์น อาศัยอยู่ที่ประเทศใด",อับราฮัม ลินคอล์น อาศัยอยู่ในประเทศ จีน.,จีน,Thai,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
