Question,Predicted,answers,label,llm_output
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, संयुक्त राज्य अमेरिका देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",जॉर्ज वॉशिंगटन संयुक्त राज्य अमेरिका में रहता है।,संयुक्त राज्य अमेरिका,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, भारत देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",जॉर्ज वॉशिंगटन भारत में रहता है।,भारत,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, चीन देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?","जॉर्ज वॉशिंगटन, चीन देश में रहता है।",चीन,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, रूस देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",जॉर्ज वॉशिंगटन रूस देश में रहता है।,रूस,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, सऊदी अरब देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",जॉर्ज वॉशिंगटन सऊदी अरब में रहता है।,सऊदी अरब,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, फ्रांस देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?","जॉर्ज वॉशिंगटन, फ्रांस देश में रहता है।",फ्रांस,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, नेपाल देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",निर्देश: जॉर्ज वॉशिंगटन नेपाल के एक राज्य के रूप में रहता है।,नेपाल,Hindi,"The assistant's response is in the same language as the reference but does not align with the reference. The assistant incorrectly states that George Washington lives as a state in Nepal, which is not aligned with the given fact.

Rating: [[4]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, जापान देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?","जॉर्ज वॉशिंगटन, जापान देश में रहता है।",जापान,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, यूक्रेन देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",जॉर्ज वॉशिंगटन यूक्रेन में रहता है।,यूक्रेन,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, ग्रीस देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",जॉर्ज वॉशिंगटन ग्रीस देश में रहता है।,ग्रीस,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, टर्की देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?","जॉर्ज वॉशिंगटन, टर्की देश में रहता है।",टर्की,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
