Question,Predicted,answers,label,llm_output
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Соединенные Штаты.
Вопрос: В какой стране живет Джордж Вашингтон?",Джордж Вашингтон живет в стране Соединенные Штаты.,Соединенные Штаты,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Индия.
Вопрос: В какой стране живет Джордж Вашингтон?",Ответ: Джордж Вашингтон живет в стране Индия.,Индия,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Китай.
Вопрос: В какой стране живет Джордж Вашингтон?",Ответ: Джордж Вашингтон живет в стране Китай.,Китай,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Россия.
Вопрос: В какой стране живет Джордж Вашингтон?","В России Джордж Вашингтон не живет, поэтому его местом жительства является не Россия, а США.",Россия,Russian,"Response: The assistant's response is in Russian and does not align with the reference provided, as it contradicts the given fact.

Rating: [[4]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Саудовская Аравия.
Вопрос: В какой стране живет Джордж Вашингтон?",В стране Саудовская Аравия живет Джордж Вашингтон.,Саудовская Аравия,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Франция.
Вопрос: В какой стране живет Джордж Вашингтон?",Ответ: Джордж Вашингтон живет в стране Франция.,Франция,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Непал.
Вопрос: В какой стране живет Джордж Вашингтон?",Ответ: Джордж Вашингтон живет в стране Непал.,Непал,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Япония.
Вопрос: В какой стране живет Джордж Вашингтон?",Ответ: Джордж Вашингтон живет в стране Япония.,Япония,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Украина.
Вопрос: В какой стране живет Джордж Вашингтон?",В стране Украина живет Джордж Вашингтон.,Украина,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Греция.
Вопрос: В какой стране живет Джордж Вашингтон?",Ответ: Джордж Вашингтон живет в стране Греция.,Греция,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Турция.
Вопрос: В какой стране живет Джордж Вашингтон?",Ответ: Джордж Вашингтон живет в стране Турция.,Турция,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Кения.
Вопрос: В какой стране живет Джордж Вашингтон?",Ответ: Джордж Вашингтон живет в стране Кения.,Кения,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Джордж Вашингтон живет в стране Таиланд.
Вопрос: В какой стране живет Джордж Вашингтон?",Ответ: Джордж Вашингтон живет в стране Таиланд.,Таиланд,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Соединенные Штаты.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране Соединенные Штаты.,Соединенные Штаты,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Индия.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране Индия.,Индия,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Китай.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране Китай.,Китай,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Россия.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране Россия.,Россия,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Саудовская Аравия.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране Саудовская Аравия.,Саудовская Аравия,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Франция.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране Франция.,Франция,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Непал.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране Непал.,Непал,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Япония.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране Японии.,Япония,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Украина.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране Украина.,Украина,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Греция.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране Греция.,Греция,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Турция.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране Турция.,Турция,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Кения.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране Кения.,Кения,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Авраам Линкольн живет в стране Таиланд.
Вопрос: В какой стране живет Авраам Линкольн?",Авраам Линкольн живет в стране Таиланд.,Таиланд,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Теодор Рузвельт живет в стране Соединенные Штаты.
Вопрос: В какой стране живет Теодор Рузвельт?",Теодор Рузвельт живет в стране Соединенные Штаты.,Соединенные Штаты,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Теодор Рузвельт живет в стране Индия.
Вопрос: В какой стране живет Теодор Рузвельт?",Теодор Рузвельт живет в стране Индия.,Индия,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Теодор Рузвельт живет в стране Китай.
Вопрос: В какой стране живет Теодор Рузвельт?",Теодор Рузвельт живет в стране Китай.,Китай,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Теодор Рузвельт живет в стране Россия.
Вопрос: В какой стране живет Теодор Рузвельт?",Теодор Рузвельт живет в стране Россия.,Россия,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Теодор Рузвельт живет в стране Саудовская Аравия.
Вопрос: В какой стране живет Теодор Рузвельт?",Теодор Рузвельт живет в стране Саудовская Аравия.,Саудовская Аравия,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Теодор Рузвельт живет в стране Франция.
Вопрос: В какой стране живет Теодор Рузвельт?",Теодор Рузвельт живет в стране Франция.,Франция,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Теодор Рузвельт живет в стране Непал.
Вопрос: В какой стране живет Теодор Рузвельт?",Теодор Рузвельт живет в стране Непал.,Непал,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Теодор Рузвельт живет в стране Япония.
Вопрос: В какой стране живет Теодор Рузвельт?",Теодор Рузвельт живет в стране Японии.,Япония,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Теодор Рузвельт живет в стране Украина.
Вопрос: В какой стране живет Теодор Рузвельт?",Теодор Рузвельт живет в стране Украина.,Украина,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Теодор Рузвельт живет в стране Греция.
Вопрос: В какой стране живет Теодор Рузвельт?",Теодор Рузвельт живет в стране Греция.,Греция,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Теодор Рузвельт живет в стране Турция.
Вопрос: В какой стране живет Теодор Рузвельт?",Теодор Рузвельт живет в стране Турция.,Турция,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Теодор Рузвельт живет в стране Кения.
Вопрос: В какой стране живет Теодор Рузвельт?",Теодор Рузвельт живет в стране Кения.,Кения,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Теодор Рузвельт живет в стране Таиланд.
Вопрос: В какой стране живет Теодор Рузвельт?",Теодор Рузвельт живет в стране Таиланд.,Таиланд,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Барак Обама живет в стране Соединенные Штаты.
Вопрос: В какой стране живет Барак Обама?",Барак Обама живет в стране Соединенные Штаты.,Соединенные Штаты,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Барак Обама живет в стране Индия.
Вопрос: В какой стране живет Барак Обама?",Барак Обама живет в стране Индия.,Индия,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Барак Обама живет в стране Китай.
Вопрос: В какой стране живет Барак Обама?",Барак Обама живет в стране Китай.,Китай,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Барак Обама живет в стране Россия.
Вопрос: В какой стране живет Барак Обама?",Барак Обама живет в стране Россия.,Россия,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Барак Обама живет в стране Саудовская Аравия.
Вопрос: В какой стране живет Барак Обама?",Барак Обама живет в стране Саудовская Аравия.,Саудовская Аравия,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Барак Обама живет в стране Франция.
Вопрос: В какой стране живет Барак Обама?",Барак Обама живет в стране Франция.,Франция,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Барак Обама живет в стране Непал.
Вопрос: В какой стране живет Барак Обама?",Барак Обама живет в стране Непал.,Непал,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Барак Обама живет в стране Япония.
Вопрос: В какой стране живет Барак Обама?",Барак Обама живет в стране Японии.,Япония,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Барак Обама живет в стране Украина.
Вопрос: В какой стране живет Барак Обама?",Барак Обама живет в стране Украина.,Украина,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Барак Обама живет в стране Греция.
Вопрос: В какой стране живет Барак Обама?",Барак Обама живет в стране Греция.,Греция,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Барак Обама живет в стране Турция.
Вопрос: В какой стране живет Барак Обама?",Барак Обама живет в стране Турция.,Турция,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Барак Обама живет в стране Кения.
Вопрос: В какой стране живет Барак Обама?",Барак Обама живет в стране Кения.,Кения,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Барак Обама живет в стране Таиланд.
Вопрос: В какой стране живет Барак Обама?",Барак Обама живет в стране Таиланд.,Таиланд,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Мартин Лютер Кинг-младший. живет в стране Соединенные Штаты.
Вопрос: В какой стране живет Мартин Лютер Кинг-младший.?",Мартин Лютер Кинг-младший живет в стране Соединенные Штаты.,Соединенные Штаты,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Инструкция: Ответьте на вопрос, основываясь на данном факте.
Факт: Мартин Лютер Кинг-младший. живет в стране Индия.
Вопрос: В какой стране живет Мартин Лютер Кинг-младший.?",Мартин Лютер Кинг-младший живет в стране Индия.,Индия,Russian,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
