Question,Predicted,answers,label,llm_output
न्यूयोर्क कुन देशमा अवस्थित छ?,"न्यूयोर्क संयुक्त राज्य अमेरिका (USA) मा अवस्थित छ। Specifically, it is located in the state of New York, in the northeastern part of the country.",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided. The assistant also provides additional context in English, but the core answer is correct and in the same language.

Rating: [[1]]"
लस एन्जलस कुन देशमा अवस्थित छ?,"लस एन्जलस (Los Angeles) संयुक्त राज्य अमेरिका (United States of America) कुन देशमा अवस्थित छ। Specifically, it is located in the state of California on the West Coast of the United States.",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
शिकागो कुन देशमा अवस्थित छ?,शिकागो संयुक्त राज्य अमेरिका (USA) को इलिनोइस राज्यमा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
ह्युस्टन कुन देशमा अवस्थित छ?,ह्युस्टन संयुक्त राज्य अमेरिका को टेक्सास राज्यमा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
फिनिक्स कुन देशमा अवस्थित छ?,फिनिक्स संयुक्त राज्य अमेरिका को एरिजोना राज्यमा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
सान डिएगो कुन देशमा अवस्थित छ?,सान डिएगो संयुक्त राज्य अमेरिका (USA) के कैलिफोर्निया राज्य में अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
सान फ्रान्सिस्को कुन देशमा अवस्थित छ?,सान फ्रान्सिस्को संयुक्त राज्य अमेरिका (USA) कुन क्यालिफोर्निया राज्यमा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
सिएटल कुन देशमा अवस्थित छ?,"सिएटल संयुक्त राज्य अमेरिका कुन देशमा अवस्थित छ। Specifically, it is located in the state of Washington, in the Pacific Northwest region of the United States.",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided. The assistant correctly identifies that Seattle is located in the United States and provides additional context.

Rating: [[1]]"
डेन्भर कुन देशमा अवस्थित छ?,डेन्भर संयुक्त राज्य अमेरिकाको कोलोराडो राज्यमा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference.

Rating: [[1]]"
मियामी कुन देशमा अवस्थित छ?,मियामी संयुक्त राज्य अमेरिका (USA) कुन देशमा अवस्थित छ। मियामी फ्लोरिडा राज्य को दक्षिण-पूर्वी किनारामा स्थित एक प्रमुख सहर हो।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
अस्टिन कुन देशमा अवस्थित छ?,अस्टिन (Austin) संयुक्त राज्य अमेरिका (United States of America) को टेक्सास राज्य (Texas) मा अवस्थित छ। यो टेक्सास को राजधानी पनि हो।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
बोस्टन कुन देशमा अवस्थित छ?,बोस्टन संयुक्त राज्य अमेरिका (USA) मा अवस्थित छ। यो मासाचुसेट्स राज्य को राजधानी हो।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
लास भेगास कुन देशमा अवस्थित छ?,लास भेगास संयुक्त राज्य अमेरिका के नेवाडा राज्य में स्थित है।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
ओर्लान्डो कुन देशमा अवस्थित छ?,ओर्लान्डो संयुक्त राज्य अमेरिका (USA) के फ्लोरिडा राज्य में अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
साक्रामेन्टो कुन देशमा अवस्थित छ?,साक्रामेन्टो संयुक्त राज्य अमेरिका कुन देशमा अवस्थित छ। यो क्यालिफोर्निया राज्य को राजधानी हो।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
पोर्टल्याण्ड कुन देशमा अवस्थित छ?,"पोर्टल्याण्ड (Portugal) पश्चिमी युरोपमा अवस्थित छ। यो देश इबेरियन प्रायद्वीपमा स्थित छ, जुन स्पेनसँग सीमा जोडिएको छ। पोर्टल्याण्डको पश्चिममा अटलान्टिक महासागर र उत्तरमा स्पेनसँग सीमा जोडिएको छ।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided. The question asks about the location of Portland, but the assistant provides information about Portugal instead.

Rating: [[4]]"
टाम्पा कुन देशमा अवस्थित छ?,टाम्पा संयुक्त राज्य अमेरिका के फ्लोरिडा राज्य में अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
क्लिभल्याण्ड कुन देशमा अवस्थित छ?,क्लिभल्याण्ड (Cleveland) संयुक्त राज्य अमेरिका के ओहायो राज्य में अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
मिनियापोलिस कुन देशमा अवस्थित छ?,मिनियापोलिस संयुक्त राज्य अमेरिका कुन देशमा अवस्थित छ। यो मिनेसोटा राज्य को सबैभन्दा ठूलो सहर हो।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
सान एन्टोनियो कुन देशमा अवस्थित छ?,सान एन्टोनियो संयुक्त राज्य अमेरिकामा अवस्थित छ। यो टेक्सास राज्यमा स्थित एक सहर हो।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
मुम्बई कुन देशमा अवस्थित छ?,मुम्बई (Mumbai) भारत देशमा अवस्थित छ। यो भारतको पश्चिमी तटमा स्थित महाराष्ट्र राज्यमा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
दिल्ली कुन देशमा अवस्थित छ?,दिल्ली भारत देशमा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
बेङ्गलुरु कुन देशमा अवस्थित छ?,बेङ्गलुरु (Bengaluru) भारतको कर्नाटक राज्यमा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
चेन्नई कुन देशमा अवस्थित छ?,चेन्नई (Chennai) भारतको तमिलनाडु राज्यमा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
हैदराबाद कुन देशमा अवस्थित छ?,"हैदराबाद भारतको दक्षिणी राज्य तेलंगानामा अवस्थित छ। यो तेलंगानाको राजधानी पनि हो। हैदराबाद सहरले आफ्नो इतिहास, संस्कृति, र वास्तुकलाका लागि प्रसिद्ध छ।",भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
अहमदाबाद कुन देशमा अवस्थित छ?,अहमदाबाद भारतको गुजरात राज्यमा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
पुणे कुन देशमा अवस्थित छ?,पुणे भारतको महाराष्ट्र राज्यमा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
कोलकाता कुन देशमा अवस्थित छ?,कोलकाता भारतको पश्चिम बंगाल राज्यमा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
जयपुर कुन देशमा अवस्थित छ?,जयपुर भारतको राजस्थान राज्यमा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
लखनऊ कुन देशमा अवस्थित छ?,लखनऊ भारतको उत्तर प्रदेश राज्यमा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
कानपुर कुन देशमा अवस्थित छ?,कानपुर भारतको उत्तर प्रदेश राज्यमा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
नागपुर कुन देशमा अवस्थित छ?,नागपुर भारतको महाराष्ट्र राज्यमा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
इन्दौर कुन देशमा अवस्थित छ?,इन्दौर भारतको मध्य प्रदेश राज्यमा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
पटना कुन देशमा अवस्थित छ?,पटना भारतको बिहार राज्यमा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
भोपाल कुन देशमा अवस्थित छ?,भोपाल भारतको मध्य प्रदेश राज्यमा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
वडोदरा कुन देशमा अवस्थित छ?,वडोदरा (Vadodara) भारतको गुजरात राज्यमा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
विशाखापट्टनम कुन देशमा अवस्थित छ?,विशाखापट्टनम भारतको आन्ध्र प्रदेश राज्यमा अवस्थित छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
