Question,Predicted,answers,label,llm_output
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد الولايات المتحدة.

السؤال: في أي بلد يعيش ؟",بناءً على الحقيقة المعطاة، جورج واشنطن يعيش في بلد الولايات المتحدة.,الولايات المتحدة,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد الهند.

السؤال: في أي بلد يعيش ؟",أنا لا أعتقد أن جورج واشنطن يعيش في الهند. جورج واشنطن هو مؤسس الولايات المتحدة الأمريكية، ولد في وست تشستر، فيرجينيا، في 22 فبراير 1732، وتوفي في مونتكلير، فيرجينيا، في 14 ديسمبر 1799. لذلك، من غير المحتمل أن جورج واشنطن يعيش في الهند.,الهند,Arabic,"Response: The assistant's response is in Arabic and does not align with the reference provided. The assistant provides additional information that is not relevant to the given fact.

Rating: [[4]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد الصين.

السؤال: في أي بلد يعيش ؟",أنا لا أعتقد أن جورج واشنطن يعيش في الصين. جورج واشنطن هو مؤسس الولايات المتحدة الأمريكية، ولد في فيرجينيا في 1732م وتوفي في 1799م. لم يكن هناك أي دليل على أن جورج واشنطن عاش في الصين في أي وقت من حياته.,الصين,Arabic,"Response: The assistant's response is in Arabic and does not align with the reference provided. The assistant provides additional information that contradicts the given fact.

Rating: [[4]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد روسيا.

السؤال: في أي بلد يعيش ؟",أنا لا أعتقد أن جورج واشنطن يعيش في روسيا. جورج واشنطن هو مؤسس الولايات المتحدة الأمريكية، ولد في فيرجينيا في 1732م وتوفي في 1799م. لذلك، من غير الممكن أن جورج واشنطن يعيش في روسيا.,روسيا,Arabic,"Response: The assistant's response is in Arabic and does not align with the reference provided. The assistant provides additional information that is not requested and contradicts the given fact.

Rating: [[4]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد المملكة العربية السعودية.

السؤال: في أي بلد يعيش ؟",أنا لا أعتقد أن جورج واشنطن يعيش في المملكة العربية السعودية. جورج واشنطن هو مؤسس الولايات المتحدة الأمريكية، ولد في ويرسستر، ماساتشوستس، الولايات المتحدة الأمريكية في 22 فبراير 1732م وتوفي في مونتكلير، فيرجينيا، الولايات المتحدة الأمريكية في 14 ديسمبر 1799م.,المملكة العربية السعودية,Arabic,"Response: The assistant's response is in Arabic but does not align with the reference provided. The assistant provides additional information that is not relevant to the given fact.

Rating: [[4]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد فرنسا.

السؤال: في أي بلد يعيش ؟",أنا لا أعتقد أن جورج واشنطن يعيش في فرنسا. جورج واشنطن كان الرئيس الأول للولايات المتحدة الأمريكية، وليس لديه أي علاقة بالبلد الفرنسي.,فرنسا,Arabic,"Response: The assistant's response is in Arabic and does not align with the reference provided. The assistant is providing additional information and expressing doubt about the given fact, which goes against the instruction to answer based on the given fact.

Rating: [[4]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد نيبال.

السؤال: في أي بلد يعيش ؟",أنا لا أعتقد أن جورج واشنطن يعيش في نيبال. جورج واشنطن هو مؤسس الولايات المتحدة الأمريكية، ولد في وست تشستر، فيرجينيا، الولايات المتحدة الأمريكية في 22 فبراير 1732م وتوفي في مونتكلير، فيرجينيا، الولايات المتحدة الأمريكية في 14 ديسمبر 1799م. لذلك، جورج واشنطن لا يعيش في نيبال أو في أي مكان آخر خارج الولايات المتحدة الأمريكية.,نيبال,Arabic,"Response: The assistant's response is in Arabic and does not align with the reference provided. The assistant is providing additional information that contradicts the given fact, instead of answering based on the provided fact.

Rating: [[4]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد اليابان.

السؤال: في أي بلد يعيش ؟",أنا لا أعتقد أن جورج واشنطن يعيش في اليابان. جورج واشنطن هو مؤسس الولايات المتحدة الأمريكية، ولد في فيرجينيا في 1732م وتوفي في 1799م. لذلك، من المستحيل أن جورج واشنطن يعيش في اليابان.,اليابان,Arabic,"Response: The assistant's response is in Arabic and does not align with the reference provided. The assistant provides additional information that is not requested and contradicts the given fact.

Rating: [[4]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد أوكرانيا.

السؤال: في أي بلد يعيش ؟",أنا لا أعتقد أن جورج واشنطن يعيش في أوكرانيا. جورج واشنطن هو مؤسس الولايات المتحدة الأمريكية، ولد في فيرجينيا في 1732م وتوفي في 1799م. لم يكن هناك أي دليل على أن جورج واشنطن عاش في أوكرانيا في أي وقت من حياته.,أوكرانيا,Arabic,"Response: The assistant's response is in Arabic and does not align with the reference provided. The assistant is providing additional information that contradicts the given fact, instead of answering based on the provided fact.

Rating: [[4]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد اليونان.

السؤال: في أي بلد يعيش ؟",لا، جورج واشنطن لا يعيش في اليونان. جورج واشنطن هو مؤسس الولايات المتحدة الأمريكية، ولد في فيرجينيا في 1732م وتوفي في 1799م، ولهم علاقات تاريخية مع اليونان ولكن ليس يعيش هناك.,اليونان,Arabic,"Response: The assistant's response is in Arabic and does not align with the reference provided. The assistant should have answered based on the given fact, even if it is incorrect.

Rating: [[4]]"
