Question,Predicted,answers,label,llm_output
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Amerika Birleşik Devletleri ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?",Amerika Birleşik Devletleri,Amerika Birleşik Devletleri,Turkish,"Response: The assistant's response is in the same language as the reference and aligns with the reference.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Hindistan ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?",Cevap: Amerika Birleşik Devletleri,Hindistan,Turkish,"Response: The assistant's response is in Turkish but does not align with the reference provided.

Rating: [[4]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Çin ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?","Cevap: Bu gerçek bir olay değildir. George Washington, Amerika Birleşik Devletleri'nde yaşıyordu.",Çin,Turkish,"Response: The assistant's response is in Turkish and does not align with the reference provided.

Rating: [[4]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Rusya ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?","Cevap: Bu gerçek bir olay değildir. George Washington, Amerika Birleşik Devletleri'nde yaşıyordu.",Rusya,Turkish,"Response: The assistant's response is in Turkish and does not align with the reference provided.

Rating: [[4]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Suudi Arabistan ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?","Bu true de नहı. George Washington, Amerika Birleşik Devletleri'nde yaşıyordu.",Suudi Arabistan,Turkish,"Response: The assistant's response is in a mix of Turkish and Hindi, and it does not align with the reference provided.

Rating: [[4]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Fransa ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?",Cevap: Amerika Birleşik Devletleri,Fransa,Turkish,"Response: The assistant's response is in Turkish and does not align with the reference provided.

Rating: [[4]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Nepal ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?",Cevap: Amerika Birleşik Devletleri,Nepal,Turkish,"Response: The assistant's response is in Turkish and does not align with the reference provided.

Rating: [[4]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Japonya ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?",Cevap: Amerika Birleşik Devletleri,Japonya,Turkish,"Response: The assistant's response is in Turkish and does not align with the reference provided.

Rating: [[4]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Ukrayna ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?",Cevap: Amerika Birleşik Devletleri,Ukrayna,Turkish,"Response: The assistant's response is in Turkish and does not align with the reference provided.

Rating: [[4]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Yunanistan ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?",Yunanistan'da.,Yunanistan,Turkish,"Response: The assistant's response is in the same language as the reference and aligns with the reference.

Rating: [[1]]"
