Question,Predicted,answers,label,llm_output
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد الولايات المتحدة.

السؤال: في أي بلد يعيش ؟","السؤال: في أي بلد يعيش جورج واشنطن؟

بناءً على الحقيقة المعطاة، يمكن أن نجوب عن السؤال بناءً على هذا المعلوم. نقوم بتقسيم السؤال إلى أجزا",الولايات المتحدة,Arabic,"The assistant's response is in Arabic but does not fully align with the reference provided. The response is cut off and does not provide a complete answer to the question.

Rating: [[3]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد الهند.

السؤال: في أي بلد يعيش ؟","السؤال: في أي بلد يعيش جورج واشنطن؟

الطريقة المناسبة لإجابة هذا السؤال هي تحديد البلد الذي يعيش فيه جورج واشنطن. لنقم بذل ذلك.

البدء من",الهند,Arabic,"The assistant's response is in Arabic but does not provide a direct answer to the question and does not align with the reference provided.

Rating: [[4]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد الصين.

السؤال: في أي بلد يعيش ؟","السؤال: في أي بلد يعيش جورج واشنطن؟

بناءً على الحقيقة المعطاة، نجاب بأن جورج واشنطن يعيش في بلد الصين. لذا، يعيش جورج واشنطن في الصين.",الصين,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد روسيا.

السؤال: في أي بلد يعيش ؟","السؤال: في أي بلد يعيش جورج واشنطن؟

بناءً على الحقيقة المعطاة، يمكن أن نجيب عن السؤال بالشكل التالي:

جورج واشنطن يعيش في بلد يسمى أمريك",روسيا,Arabic,"Response: The assistant's response is in Arabic but does not align with the reference provided. The assistant mentions ""أمريك"" (America) instead of ""روسيا"" (Russia).

Rating: [[3]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد المملكة العربية السعودية.

السؤال: في أي بلد يعيش ؟",الجواب: جورج واشنطن يعيش في بلد المملكة العربية السعودية.,المملكة العربية السعودية,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد فرنسا.

السؤال: في أي بلد يعيش ؟","السؤال: في أي بلد يعيش جورج واشنطن؟

بناءً على الحقيقة المعطاة، نجاب عن السؤال بناءً على جملة: جورج واشنطن يعيش في بلد فرنسا. لذا، نج",فرنسا,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد نيبال.

السؤال: في أي بلد يعيش ؟","السؤال: في أي بلد يعيش جورج واشنطن؟

بناءً على الحقيقة المعطاة، نجاب عن السؤال بناءً على جملة: في بلد نيبال يعيش جورج واشنطن. لذا، جوا",نيبال,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد اليابان.

السؤال: في أي بلد يعيش ؟",الجواب: جورج واشنطن يعيش في بلد اليابان.,اليابان,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد أوكرانيا.

السؤال: في أي بلد يعيش ؟","السؤال: في أي بلد يعيش جورج واشنطن؟

بناءً على الحقيقة المعطاة، نجاب بأن جورج واشنطن يعيش في بلد أوكرانيا. لذا، يعيش جورج واشنطن في",أوكرانيا,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد اليونان.

السؤال: في أي بلد يعيش ؟","السؤال: في أي بلد يعيش جورج واشنطن؟

بناءً على الحقيقة المعطاة، نجاب بأن جورج واشنطن يعيش في بلد اليونان. لذا، يعيش جورج واشنطن في بل",اليونان,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
