LANGUAGES,United States,India,China,Russia,Saudi Arabia,France,Nepal,Japan,Ukraine,Greece,Turkey,Kenya,Thailand
English,1,0,0,2,10,0,4,0,3,2,2,5,1
Hindi,34,45,61,49,60,56,47,61,59,58,55,62,60
Chinese,8,19,2,12,48,10,54,4,24,28,37,50,28
Russian,4,7,6,1,28,6,31,4,10,6,5,39,12
Arabic,45,62,62,62,55,54,61,60,59,61,59,61,62
French,2,7,5,3,20,0,3,0,7,2,3,7,2
Nepali,55,58,62,59,62,59,33,61,61,58,61,62,62
Japanese,1,12,3,3,39,3,40,1,14,7,9,36,16
Ukrainian,14,24,25,36,46,7,45,16,4,25,34,51,31
Greek,53,46,40,52,50,42,58,48,51,33,48,44,47
Turkish,32,38,34,23,53,25,27,34,27,56,7,23,52
Swahili,44,35,25,37,38,34,33,16,33,33,47,5,39
Thai,62,62,62,62,62,58,61,62,61,61,58,62,14
