Question,Predicted,answers,label,llm_output
"Οδηγία: Απαντήστε στην ερώτηση με βάση το δεδομένο γεγονός.
Γεγονός: Ο Τζορτζ Ουάσιγκτον ζει στη χώρα του Ηνωμένες Πολιτείες.
Ερώτηση: Σε ποια χώρα ζει ο χρήστης Τζορτζ Ουάσιγκτον;",Ο χρήστης Τζορτζ Ουάσιγκτον ζει στη χώρα των Ηνωμένων Πολιτειών.,Ηνωμένες Πολιτείες,Greek,"Response: The assistant's response is in Greek and aligns with the reference provided.

Rating: [[1]]"
"Οδηγία: Απαντήστε στην ερώτηση με βάση το δεδομένο γεγονός.
Γεγονός: Ο Τζορτζ Ουάσιγκτον ζει στη χώρα του Ινδία.
Ερώτηση: Σε ποια χώρα ζει ο χρήστης Τζορτζ Ουάσιγκτον;",Ο χρήστης Τζορτζ Ουάσιγκτον ζει στη χώρα του Ινδία.,Ινδία,Greek,"Response: The assistant's response is in Greek and aligns with the reference provided.

Rating: [[1]]"
"Οδηγία: Απαντήστε στην ερώτηση με βάση το δεδομένο γεγονός.
Γεγονός: Ο Τζορτζ Ουάσιγκτον ζει στη χώρα του Κίνα.
Ερώτηση: Σε ποια χώρα ζει ο χρήστης Τζορτζ Ουάσιγκτον;",Ο χρήστης Τζορτζ Ουάσιγκτον ζει στη χώρα του Κίνα.,Κίνα,Greek,"Response: The assistant's response is in Greek and aligns with the reference provided.

Rating: [[1]]"
"Οδηγία: Απαντήστε στην ερώτηση με βάση το δεδομένο γεγονός.
Γεγονός: Ο Τζορτζ Ουάσιγκτον ζει στη χώρα του Ρωσία.
Ερώτηση: Σε ποια χώρα ζει ο χρήστης Τζορτζ Ουάσιγκτον;",Ο χρήστης Τζορτζ Ουάσιγκτον ζει στη χώρα της Ρωσία.,Ρωσία,Greek,"Response: The assistant's response is in Greek and aligns with the reference provided.

Rating: [[1]]"
"Οδηγία: Απαντήστε στην ερώτηση με βάση το δεδομένο γεγονός.
Γεγονός: Ο Τζορτζ Ουάσιγκτον ζει στη χώρα του Σαουδική Αραβία.
Ερώτηση: Σε ποια χώρα ζει ο χρήστης Τζορτζ Ουάσιγκτον;",Ο χρήστης Τζορτζ Ουάσιγκτον ζει στη χώρα της Σαουδική Αραβία.,Σαουδική Αραβία,Greek,"Response: The assistant's response is in Greek and aligns with the reference provided.

Rating: [[1]]"
"Οδηγία: Απαντήστε στην ερώτηση με βάση το δεδομένο γεγονός.
Γεγονός: Ο Τζορτζ Ουάσιγκτον ζει στη χώρα του Γαλλία.
Ερώτηση: Σε ποια χώρα ζει ο χρήστης Τζορτζ Ουάσιγκτον;",Ο χρήστης Τζορτζ Ουάσιγκτον ζει στη χώρα της Γαλλία.,Γαλλία,Greek,"Response: The assistant's response is in Greek and aligns with the reference provided.

Rating: [[1]]"
"Οδηγία: Απαντήστε στην ερώτηση με βάση το δεδομένο γεγονός.
Γεγονός: Ο Τζορτζ Ουάσιγκτον ζει στη χώρα του Νεπάλ.
Ερώτηση: Σε ποια χώρα ζει ο χρήστης Τζορτζ Ουάσιγκτον;",Ο χρήστης Τζορτζ Ουάσιγκτον ζει στη χώρα του Νεπάλ.,Νεπάλ,Greek,"Response: The assistant's response is in Greek and aligns with the reference provided.

Rating: [[1]]"
"Οδηγία: Απαντήστε στην ερώτηση με βάση το δεδομένο γεγονός.
Γεγονός: Ο Τζορτζ Ουάσιγκτον ζει στη χώρα του Ιαπωνία.
Ερώτηση: Σε ποια χώρα ζει ο χρήστης Τζορτζ Ουάσιγκτον;",Ο χρήστης Τζορτζ Ουάσιγκτον ζει στη χώρα της Ιαπωνία.,Ιαπωνία,Greek,"Response: The assistant's response is in Greek and aligns with the reference provided.

Rating: [[1]]"
"Οδηγία: Απαντήστε στην ερώτηση με βάση το δεδομένο γεγονός.
Γεγονός: Ο Τζορτζ Ουάσιγκτον ζει στη χώρα του Ουκρανία.
Ερώτηση: Σε ποια χώρα ζει ο χρήστης Τζορτζ Ουάσιγκτον;",Ο χρήστης Τζορτζ Ουάσιγκτον ζει στη χώρα του Ουκρανία.,Ουκρανία,Greek,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Οδηγία: Απαντήστε στην ερώτηση με βάση το δεδομένο γεγονός.
Γεγονός: Ο Τζορτζ Ουάσιγκτον ζει στη χώρα του Ελλάδα.
Ερώτηση: Σε ποια χώρα ζει ο χρήστης Τζορτζ Ουάσιγκτον;",Ο χρήστης Τζορτζ Ουάσιγκτον ζει στη χώρα της Ελλάδα.,Ελλάδα,Greek,"Response: The assistant's response is in Greek and aligns with the reference provided.

Rating: [[1]]"
"Οδηγία: Απαντήστε στην ερώτηση με βάση το δεδομένο γεγονός.
Γεγονός: Ο Τζορτζ Ουάσιγκτον ζει στη χώρα του Τουρκία.
Ερώτηση: Σε ποια χώρα ζει ο χρήστης Τζορτζ Ουάσιγκτον;",Ο χρήστης Τζορτζ Ουάσιγκτον ζει στη χώρα της Τουρκία.,Τουρκία,Greek,"Response: The assistant's response is in Greek and aligns with the reference provided.

Rating: [[1]]"
"Οδηγία: Απαντήστε στην ερώτηση με βάση το δεδομένο γεγονός.
Γεγονός: Ο Τζορτζ Ουάσιγκτον ζει στη χώρα του Κενύα.
Ερώτηση: Σε ποια χώρα ζει ο χρήστης Τζορτζ Ουάσιγκτον;",Ο χρήστης Τζορτζ Ουάσιγκτον ζει στη χώρα του Κενύα.,Κενύα,Greek,"Response: The assistant's response is in Greek and aligns with the reference provided.

Rating: [[1]]"
"Οδηγία: Απαντήστε στην ερώτηση με βάση το δεδομένο γεγονός.
Γεγονός: Ο Τζορτζ Ουάσιγκτον ζει στη χώρα του Σιάμ.
Ερώτηση: Σε ποια χώρα ζει ο χρήστης Τζορτζ Ουάσιγκτον;",Ο χρήστης Τζορτζ Ουάσιγκτον ζει στη χώρα του Σιάμ.,Σιάμ,Greek,"Response: The assistant's response is in Greek and aligns with the reference provided.

Rating: [[1]]"
"Οδηγία: Απαντήστε στην ερώτηση με βάση το δεδομένο γεγονός.
Γεγονός: Ο Αβραάμ Λίνκολν ζει στη χώρα του Ηνωμένες Πολιτείες.
Ερώτηση: Σε ποια χώρα ζει ο χρήστης Αβραάμ Λίνκολν;",Ο χρήστης Αβραάμ Λίνκολν ζει στη χώρα των Ηνωμένων Πολιτειών.,Ηνωμένες Πολιτείες,Greek,"Response: The assistant's response is in Greek and aligns with the reference provided.

Rating: [[1]]"
"Οδηγία: Απαντήστε στην ερώτηση με βάση το δεδομένο γεγονός.
Γεγονός: Ο Αβραάμ Λίνκολν ζει στη χώρα του Ινδία.
Ερώτηση: Σε ποια χώρα ζει ο χρήστης Αβραάμ Λίνκολν;",Ο χρήστης Αβραάμ Λίνκολν ζει στη χώρα του Ινδία.,Ινδία,Greek,"Response: The assistant's response is in Greek and aligns with the reference provided.

Rating: [[1]]"
"Οδηγία: Απαντήστε στην ερώτηση με βάση το δεδομένο γεγονός.
Γεγονός: Ο Αβραάμ Λίνκολν ζει στη χώρα του Κίνα.
Ερώτηση: Σε ποια χώρα ζει ο χρήστης Αβραάμ Λίνκολν;",Ο χρήστης Αβραάμ Λίνκολν ζει στη χώρα του Κίνα.,Κίνα,Greek,"Response: The assistant's response is in Greek and aligns with the reference provided.

Rating: [[1]]"
"Οδηγία: Απαντήστε στην ερώτηση με βάση το δεδομένο γεγονός.
Γεγονός: Ο Αβραάμ Λίνκολν ζει στη χώρα του Ρωσία.
Ερώτηση: Σε ποια χώρα ζει ο χρήστης Αβραάμ Λίνκολν;",Ο χρήστης Αβραάμ Λίνκολν ζει στη χώρα της Ρωσία.,Ρωσία,Greek,"Response: The assistant's response is in Greek and aligns with the reference provided.

Rating: [[1]]"
"Οδηγία: Απαντήστε στην ερώτηση με βάση το δεδομένο γεγονός.
Γεγονός: Ο Αβραάμ Λίνκολν ζει στη χώρα του Σαουδική Αραβία.
Ερώτηση: Σε ποια χώρα ζει ο χρήστης Αβραάμ Λίνκολν;",Ο χρήστης Αβραάμ Λίνκολν ζει στη χώρα του Σαουδική Αραβία.,Σαουδική Αραβία,Greek,"Response: The assistant's response is in Greek and aligns with the reference provided.

Rating: [[1]]"
"Οδηγία: Απαντήστε στην ερώτηση με βάση το δεδομένο γεγονός.
Γεγονός: Ο Αβραάμ Λίνκολν ζει στη χώρα του Γαλλία.
Ερώτηση: Σε ποια χώρα ζει ο χρήστης Αβραάμ Λίνκολν;",Ο χρήστης Αβραάμ Λίνκολν ζει στη χώρα του Γαλλία.,Γαλλία,Greek,"Response: The assistant's response is in Greek and aligns with the reference provided.

Rating: [[1]]"
