Question,Predicted,answers,label,llm_output
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, संयुक्त राज्य अमेरिका देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",जॉर्ज वॉशिंगटन अमेरिका देश में रहता है।,संयुक्त राज्य अमेरिका,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, भारत देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",जॉर्ज वॉशिंगटन भारत देश में रहता है। (Answer: George Washington Theton lives in India.),भारत,Hindi,"The assistant's response is in the same language as the reference and aligns with the reference.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, चीन देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",जॉर्ज वॉशिंगटन चीन देश مें रहता है। (Answer: George Washington Thorington lives in China.),चीन,Hindi,"Response: The assistant's response is in Hindi and aligns with the reference provided, but there is a minor error in the name ""Thorington"" which is not part of the reference. However, the main fact about the country is correct.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, रूस देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?","जॉर्ज वॉशिंगटन रूस देश مें रहता है। (Jorge Washington Tyler, resides in Russia.)",रूस,Hindi,"Response: The assistant's response is in Hindi and aligns with the reference provided, but there is a minor error in the sentence structure where ""में"" is used incorrectly. However, the core content is correct and in the same language as the reference.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, सऊदी अरब देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",जॉर्ज वॉशिंगटन सूदी अरब देश مें रहता है। (Answer: Jorje Washington lives in Saudi Arabia.),सऊदी अरब,Hindi,"Response: The assistant's response is in Hindi and aligns with the reference provided.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, फ्रांस देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",जॉर्ज वॉशिंगटन फ्रांस (France) में रहता है।,फ्रांस,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, नेपाल देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",जॉर्ज वॉशिंगटन नेपाल देश مें रहता है। (Answer: George Washington Th Harrison is in Nepal.),नेपाल,Hindi,"The assistant's response is in a mix of Hindi and English, and it aligns with the reference provided, but the additional text ""Th Harrison is in Nepal"" is incorrect and unrelated.

Rating: [[3]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, जापान देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",जॉर्ज वॉशिंगटन जापान देश में रहता है (Jorge Washington Thompson lives in Japan).,जापान,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, यूक्रेन देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",जॉर्ज वॉशिंगटन यूक्रेन (United States) देश में रहता है।,यूक्रेन,Hindi,"The assistant's response is in the same language as the reference (Hindi) but does not fully align with the reference. The assistant mentions both Ukraine and United States, which introduces confusion and is not consistent with the given fact.

Rating: [[4]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, ग्रीस देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?","जॉर्ज वॉशिंगटन ग्रीस देश (Greese Country) में रहता है। अतः, उसे ग्रीस देश कहा जाता है।",ग्रीस,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, टर्की देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",जॉर्ज वॉशिंगटन टर्की देश مें रहता है। (Answer: George Washington Thompson lives in Turkey.),टर्की,Hindi,"The assistant's response is in a mix of Hindi and English, but it aligns with the reference provided. However, the name ""George Washington Thompson"" is incorrect and should be ""George Washington.""

Rating: [[3]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, केन्या देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",जॉर्ज वॉशिंगटन केन्या (Kenya) देश में रहता है।,केन्या,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, थाईलैंड देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",जॉर्ज वॉशिंगटन थाईलैंड में रहता है। (Answer: George Washington Thon is in Thailand.),थाईलैंड,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: अब्राहम लिंकन, संयुक्त राज्य अमेरिका देश में रहता है। प्रश्न: अब्राहम लिंकन किस देश में रहता है?",अब्राहम लिंकन संयुक्त राज्य अमेरिका में रहता है। (Abraham Lincoln is living in the United States of America.),संयुक्त राज्य अमेरिका,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: अब्राहम लिंकन, भारत देश में रहता है। प्रश्न: अब्राहम लिंकन किस देश में रहता है?",अब्राहम लिंकन भारत देश مें रहता है। (Answer: Abraham Lincoln is in India.),भारत,Hindi,"Response: The assistant's response is in a mix of Hindi and Urdu script, but it aligns with the reference provided.

Rating: [[3]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: अब्राहम लिंकन, चीन देश में रहता है। प्रश्न: अब्राहम लिंकन किस देश में रहता है?",अब्राहम लिंकन चीन में रहता है।,चीन,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: अब्राहम लिंकन, रूस देश में रहता है। प्रश्न: अब्राहम लिंकन किस देश में रहता है?",अब्राहम लिंकन रूस देश مें रहता है। (Abraham Lincoln is living in Russia.),रूस,Hindi,"Response: The assistant's response is in a mix of Hindi and Urdu script, which is not consistent, but it does align with the reference provided.

Rating: [[3]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: अब्राहम लिंकन, सऊदी अरब देश में रहता है। प्रश्न: अब्राहम लिंकन किस देश में रहता है?",अब्राहम लिंकन सऊदी अरब देश مें रहता है। (Abraham Lincoln is living in Sudan.),सऊदी अरब,Hindi,"The assistant's response is in a mix of Hindi and Arabic script, and it does not align with the reference provided. The assistant incorrectly states that Abraham Lincoln is living in Sudan, which is unrelated to the reference.

Rating: [[4]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: अब्राहम लिंकन, फ्रांस देश में रहता है। प्रश्न: अब्राहम लिंकन किस देश में रहता है?",अब्राहम लिंकन फ्रांस देश مें रहता है। (Abraham Lincoln is living in France.),फ्रांस,Hindi,"Response: The assistant's response is in a mix of Hindi and Urdu script, but it aligns with the reference provided.

Rating: [[3]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: अब्राहम लिंकन, नेपाल देश में रहता है। प्रश्न: अब्राहम लिंकन किस देश में रहता है?",अब्राहम लिंकन नेपाल में रहता है। (Abraham Lincoln is living in Nepal.),नेपाल,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
