Question,Predicted,answers,label,llm_output
न्यूयोर्क कुन देशमा अवस्थित छ?,न्यू योर्क संयुक्त राज्य अमेरिकामा अवस्थित छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
लस एन्जलस कुन देशमा अवस्थित छ?,"लस एन्जलस **संयुक्त राज्य अमेरिका** मा अवस्थित छ। 

यो क्यालिफोर्निया राज्यको सबैभन्दा ठूलो शहर हो।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
शिकागो कुन देशमा अवस्थित छ?,"शिकागो **संयुक्त राज्य अमेरिका** मा अवस्थित छ। 

यो इलिनोइस राज्यको उत्तर-पूर्वी भागमा पर्छ।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
ह्युस्टन कुन देशमा अवस्थित छ?,"ह्युस्टन **संयुक्त राज्य अमेरिका** मा अवस्थित छ। 

यो टेक्सास राज्यको सबैभन्दा ठूलो शहर हो।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
फिनिक्स कुन देशमा अवस्थित छ?,"फिनिक्स, **अमेरिका** मा अवस्थित छ। यो **एरिज़ोना** राज्यको राजधानी हो।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
सान डिएगो कुन देशमा अवस्थित छ?,"सान डिएगो **संयुक्त राज्य अमेरिका** मा अवस्थित छ। 

यो शहर क्यालिफोर्निया राज्यमा पर्दछ।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
सान फ्रान्सिस्को कुन देशमा अवस्थित छ?,"सान फ्रान्सिस्को **संयुक्त राज्य अमेरिका** मा अवस्थित छ। 

यो शहर क्यालिफोर्निया राज्यमा पर्दछ।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
सिएटल कुन देशमा अवस्थित छ?,"सिएटल **संयुक्त राज्य अमेरिका** मा अवस्थित छ। 

यो शहर **वाशिंगटन राज्य** मा पर्दछ।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
डेन्भर कुन देशमा अवस्थित छ?,"डेन्भर **संयुक्त राज्य अमेरिका** मा अवस्थित छ। 

यो कोलोराडो राज्यको राजधानी हो।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
मियामी कुन देशमा अवस्थित छ?,"मियामी **संयुक्त राज्य अमेरिका** मा अवस्थित छ। 

यो फ्लोरिडा राज्यको दक्षिण-पूर्वी भागमा पर्छ।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
