Question,Predicted,answers,label,llm_output
न्यूयॉर्क किस देश में स्थित है?,न्यू यॉर्क **संयुक्त राज्य अमेरिका** में स्थित है।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
लॉस एंजिल्स किस देश में स्थित है?,"लॉस एंजिल्स **संयुक्त राज्य अमेरिका** में स्थित है। 

यह कैलिफ़ोर्निया राज्य में स्थित है।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
शिकागो किस देश में स्थित है?,"शिकागो **संयुक्त राज्य अमेरिका** में स्थित है। 

यह इलिनोइस राज्य में, मिशिगन झील के किनारे पर स्थित है।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
ह्यूस्टन किस देश में स्थित है?,"ह्यूस्टन **संयुक्त राज्य अमेरिका** में स्थित है। 

यह टेक्सास राज्य में स्थित है।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
अचंभा किस देश में स्थित है?,"अचंभा **भारत** में स्थित है। 

यह राजस्थान राज्य में स्थित है।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided. The reference is about the United States, but the assistant talks about India.

Rating: [[4]]"
सैन डिएगो किस देश में स्थित है?,"सैन डिएगो **संयुक्त राज्य अमेरिका** में स्थित है। 

यह कैलिफ़ोर्निया राज्य के दक्षिणी भाग में स्थित है।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
सैन फ्रांसिस्को किस देश में स्थित है?,"सैन फ्रांसिस्को **संयुक्त राज्य अमेरिका** में स्थित है। 

यह कैलिफ़ोर्निया राज्य के पश्चिमी तट पर स्थित है।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
सिएटल किस देश में स्थित है?,"सिएटल **संयुक्त राज्य अमेरिका** में स्थित है। 

यह वाशिंगटन राज्य में स्थित है।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
डेनवर किस देश में स्थित है?,"डेनवर **संयुक्त राज्य अमेरिका** में स्थित है। 

यह कॉलोराडो राज्य की राजधानी है।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
मियामी किस देश में स्थित है?,"मियामी **संयुक्त राज्य अमेरिका** में स्थित है। 

यह फ्लोरिडा राज्य के दक्षिण-पूर्वी तट पर स्थित है।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
ऑस्टिन किस देश में स्थित है?,"ऑस्टिन, **संयुक्त राज्य अमेरिका** में स्थित है। 

यह टेक्सास राज्य की राजधानी है।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
बोस्टान किस देश में स्थित है?,"बोस्टन **संयुक्त राज्य अमेरिका** में स्थित है। 

यह मैसाचुसेट्स राज्य में स्थित है।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
लास वेगास किस देश में स्थित है?,"लास वेगास **संयुक्त राज्य अमेरिका** में स्थित है। 

यह **नेवादा** राज्य में स्थित है।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
