Question,Predicted,answers,label,llm_output
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Amerika Birleşik Devletleri ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?","George Washington, Amerika Birleşik Devletleri ülkesinde yaşıyor.",Amerika Birleşik Devletleri,Turkish,"Response: The assistant's response is in the same language as the reference and aligns with the reference.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Hindistan ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?","George Washington, Hindistan'daki ülkeye sahip.",Hindistan,Turkish,"The assistant's response is in Turkish but does not accurately align with the reference provided. The response is vague and does not directly answer the question based on the given fact.

Rating: [[4]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Çin ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?","George Washington, Amerika'daki başkenti, Washington, D.C.'da yaşıyor. Çin'de yaşıyor değil.",Çin,Turkish,"The assistant's response is in Turkish and does not align with the reference provided. The assistant states that George Washington lives in Washington, D.C., which contradicts the given fact that he lives in China.

Rating: [[4]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Rusya ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?","George Washington, Rusya ülkesinde yaşıyor.",Rusya,Turkish,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Suudi Arabistan ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?","George Washington, Amerika'daki başkenti, Washington, D.C.'dır. Amerika, Suudi Arabistan'nın yerine, Amerika Birleşik Devleti'nin ülkesinden başladığı ve Amerika'nın üçüncü bayrağını içeren ülke olduğu gibi, Suudi Arabistan'daki yer değil. George Washington, Amerikanın başkenti'nin ülkesinde yaşıyor.",Suudi Arabistan,Turkish,"The assistant's response is in Turkish and does not align with the reference provided. The assistant introduces new facts not aligned with the given fact and does not directly answer the question based on the provided fact.

Rating: [[4]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Fransa ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?","George Washington, Fransa ülkesinde yaşıyor.",Fransa,Turkish,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Nepal ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?","George Washington, Amerika'daki bir insan olarak tanımlanmıştır. Nepal'daki insan değildir.",Nepal,Turkish,"Response: The assistant's response is in Turkish and does not align with the reference provided.

Rating: [[4]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Japonya ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?","George Washington, Amerika'daki başkenti, Washington, D.C.'dır. Amerika'nın ülkesindeki başkentlerinden biridir ve Japonya ülkesinde bulunmamaktadır. George Washington, Amerikalı bir insan olduğu için Amerikan Cumhuriyeti'nin başkenti olarak kabul edilmiştir.",Japonya,Turkish,"The assistant's response is in Turkish (aligning with the reference language) but does not align with the reference fact. The assistant should have answered based on the given fact, even if it is incorrect. The assistant's response introduces new information not aligned with the given fact.

Rating: [[3]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Ukrayna ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?","George Washington, Amerika'daki bir ülke ülkesinde yaşıyor.",Ukrayna,Turkish,"Response: The assistant's response is in Turkish but does not align with the reference provided. The assistant mentions that George Washington lives in a country in America, which is not the same as the given fact that he lives in Ukraine.

Rating: [[3]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Yunanistan ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?","George Washington, Yunanistan ülkesinde yaşıyor.",Yunanistan,Turkish,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Türkiye ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?","George Washington, Türkiye ülkesinde yaşıyor.",Türkiye,Turkish,"Response: The assistant's response is in Turkish and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Kenya ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?","George Washington, bu sorunda gerçeğe göre, Kenya'daki yaşıyor.",Kenya,Turkish,"Response: The assistant's response is in Turkish and aligns with the reference provided.

Rating: [[3]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: George Washington, Tayland ülkesinde yaşıyor.
Soru: George Washington hangi ülkede yaşıyor?","George Washington, Amerika'daki bir ülke, Amerika'daki Başkent'dır.",Tayland,Turkish,"Response: The assistant's response is in Turkish but does not align with the reference provided. The assistant incorrectly states that George Washington is a capital in America, which is not relevant to the given fact.

Rating: [[4]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: İbrahim Lincoln, Amerika Birleşik Devletleri ülkesinde yaşıyor.
Soru: İbrahim Lincoln hangi ülkede yaşıyor?","İbrahim Lincoln, Amerika Birleşik Devletleri'de yaşıyor.",Amerika Birleşik Devletleri,Turkish,"Response: The assistant's response is in the same language as the reference and aligns with the reference.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: İbrahim Lincoln, Hindistan ülkesinde yaşıyor.
Soru: İbrahim Lincoln hangi ülkede yaşıyor?","İbrahim Lincoln, Hindistan'daki kişiydi.",Hindistan,Turkish,"Response: The assistant's response is in Turkish and aligns with the reference provided, but it is not a direct or clear answer to the question. The assistant should have stated ""İbrahim Lincoln Hindistan'da yaşıyor"" for a more accurate and direct response. However, since it does align with the reference, it should not be rated as unrelated.

Rating: [[3]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: İbrahim Lincoln, Çin ülkesinde yaşıyor.
Soru: İbrahim Lincoln hangi ülkede yaşıyor?","İbrahim Lincoln, Çin ülkesinde yaşıyor.",Çin,Turkish,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: İbrahim Lincoln, Rusya ülkesinde yaşıyor.
Soru: İbrahim Lincoln hangi ülkede yaşıyor?","İbrahim Lincoln, Rusya ülkesinde yaşıyor.",Rusya,Turkish,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: İbrahim Lincoln, Suudi Arabistan ülkesinde yaşıyor.
Soru: İbrahim Lincoln hangi ülkede yaşıyor?","İbrahim Lincoln, Suudi Arabistan'de yaşıyor.",Suudi Arabistan,Turkish,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: İbrahim Lincoln, Fransa ülkesinde yaşıyor.
Soru: İbrahim Lincoln hangi ülkede yaşıyor?","İbrahim Lincoln, Fransa ülkesinde yaşıyor.",Fransa,Turkish,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: İbrahim Lincoln, Nepal ülkesinde yaşıyor.
Soru: İbrahim Lincoln hangi ülkede yaşıyor?","İbrahim Lincoln, Nepal ülkesinde yaşıyor.",Nepal,Turkish,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: İbrahim Lincoln, Japonya ülkesinde yaşıyor.
Soru: İbrahim Lincoln hangi ülkede yaşıyor?","İbrahim Lincoln, Japonya ülkesinde yaşıyor.",Japonya,Turkish,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: İbrahim Lincoln, Ukrayna ülkesinde yaşıyor.
Soru: İbrahim Lincoln hangi ülkede yaşıyor?","İbrahim Lincoln, Ukrayna ülkesinde yaşıyor.",Ukrayna,Turkish,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: İbrahim Lincoln, Yunanistan ülkesinde yaşıyor.
Soru: İbrahim Lincoln hangi ülkede yaşıyor?","İbrahim Lincoln, Yunanistan ülkesinde yaşıyor.",Yunanistan,Turkish,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: İbrahim Lincoln, Türkiye ülkesinde yaşıyor.
Soru: İbrahim Lincoln hangi ülkede yaşıyor?","İbrahim Lincoln, Türkiye'de yaşıyor.",Türkiye,Turkish,"Response: The assistant's response is in Turkish and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: İbrahim Lincoln, Kenya ülkesinde yaşıyor.
Soru: İbrahim Lincoln hangi ülkede yaşıyor?","İbrahim Lincoln, Kenya ülkesinde yaşıyor.",Kenya,Turkish,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: İbrahim Lincoln, Tayland ülkesinde yaşıyor.
Soru: İbrahim Lincoln hangi ülkede yaşıyor?","İbrahim Lincoln, Türkiye'de yaşıyor.",Tayland,Turkish,"The assistant's response is in Turkish (which is not the same language as the reference, which is also Turkish) and does not align with the reference provided. The assistant should have answered ""Tayland"" (Thailand) based on the given fact.

Rating: [[4]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: Theodore Roosevelt, Amerika Birleşik Devletleri ülkesinde yaşıyor.
Soru: Theodore Roosevelt hangi ülkede yaşıyor?","Theodore Roosevelt, Amerika Birleşik Devletleri ülkesinde yaşıyor.",Amerika Birleşik Devletleri,Turkish,"Response: The assistant's response is in the same language as the reference and aligns with the reference.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: Theodore Roosevelt, Hindistan ülkesinde yaşıyor.
Soru: Theodore Roosevelt hangi ülkede yaşıyor?","Theodore Roosevelt, Hindistan ülkesinde yaşıyor.",Hindistan,Turkish,"Response: The assistant's response is in Turkish and aligns with the reference provided.

Rating: [[3]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: Theodore Roosevelt, Çin ülkesinde yaşıyor.
Soru: Theodore Roosevelt hangi ülkede yaşıyor?","Theodore Roosevelt, Çin ülkesinde yaşıyor.",Çin,Turkish,"Response: The assistant's response is in Turkish and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: Theodore Roosevelt, Rusya ülkesinde yaşıyor.
Soru: Theodore Roosevelt hangi ülkede yaşıyor?","Theodore Roosevelt, Rusya ülkesinde yaşıyor.",Rusya,Turkish,"Response: The assistant's response is in Turkish and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: Theodore Roosevelt, Suudi Arabistan ülkesinde yaşıyor.
Soru: Theodore Roosevelt hangi ülkede yaşıyor?","Theodore Roosevelt, Suudi Arabistan'nin yerine, Amerika'da yaşıyor.",Suudi Arabistan,Turkish,"Response: The assistant's response is in Turkish and does not align with the reference provided, as it contradicts the given fact.

Rating: [[4]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: Theodore Roosevelt, Fransa ülkesinde yaşıyor.
Soru: Theodore Roosevelt hangi ülkede yaşıyor?","Theodore Roosevelt, Fransa ülkesinde yaşıyor.",Fransa,Turkish,"Response: The assistant's response is in Turkish and aligns with the reference provided.

Rating: [[3]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: Theodore Roosevelt, Nepal ülkesinde yaşıyor.
Soru: Theodore Roosevelt hangi ülkede yaşıyor?","Theodore Roosevelt, Nepal ülkesinde yaşıyor.",Nepal,Turkish,"Response: The assistant's response is in Turkish and aligns with the reference provided.

Rating: [[3]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: Theodore Roosevelt, Japonya ülkesinde yaşıyor.
Soru: Theodore Roosevelt hangi ülkede yaşıyor?","Theodore Roosevelt, Amerikalı bir insan olarak tanımlanmıştır. Bu nedenle, ""Theodore Roosevelt, Japonya ülkesinde yaşıyor"" gerçeğinin doğru olduğu açıklamasının yanı sıra, Theodore Roosevelt'in Amerikalı olduğunu belirlemek için çeşitli yanıtlar verilmiştir. Bu neden",Japonya,Turkish,"Response: The assistant's response is in Turkish and does not align with the reference provided. The assistant should have answered based on the given fact, regardless of its historical accuracy.

Rating: [[4]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: Theodore Roosevelt, Ukrayna ülkesinde yaşıyor.
Soru: Theodore Roosevelt hangi ülkede yaşıyor?","Theodore Roosevelt, Ukrayna ülkesinde yaşıyor.",Ukrayna,Turkish,"Response: The assistant's response is in Turkish and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: Theodore Roosevelt, Yunanistan ülkesinde yaşıyor.
Soru: Theodore Roosevelt hangi ülkede yaşıyor?","Theodore Roosevelt, Yunanistan ülkesinde yaşıyor.",Yunanistan,Turkish,"Response: The assistant's response is in Turkish and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: Theodore Roosevelt, Türkiye ülkesinde yaşıyor.
Soru: Theodore Roosevelt hangi ülkede yaşıyor?","Theodore Roosevelt, Türkiye ülkesinde yaşıyor.",Türkiye,Turkish,"Response: The assistant's response is in Turkish and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: Theodore Roosevelt, Kenya ülkesinde yaşıyor.
Soru: Theodore Roosevelt hangi ülkede yaşıyor?","Theodore Roosevelt, Kenya'nın yaşıyor.",Kenya,Turkish,"Response: The assistant's response is in Turkish and aligns with the reference provided.

Rating: [[3]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: Theodore Roosevelt, Tayland ülkesinde yaşıyor.
Soru: Theodore Roosevelt hangi ülkede yaşıyor?","Theodore Roosevelt, Amerika Birleşik Devletleri'nde yaşıyor.",Tayland,Turkish,"Response: The assistant's response is in Turkish and does not align with the reference provided.

Rating: [[4]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: Barack Obama, Amerika Birleşik Devletleri ülkesinde yaşıyor.
Soru: Barack Obama hangi ülkede yaşıyor?","Barack Obama, Amerika Birleşik Devletleri (ABDA) ülkesinde yaşıyor.",Amerika Birleşik Devletleri,Turkish,"Response: The assistant's response is in the same language as the reference and aligns with the reference.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: Barack Obama, Hindistan ülkesinde yaşıyor.
Soru: Barack Obama hangi ülkede yaşıyor?","Barack Obama, Hindistan ülkesinde yaşıyor.",Hindistan,Turkish,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: Barack Obama, Çin ülkesinde yaşıyor.
Soru: Barack Obama hangi ülkede yaşıyor?","Barack Obama, Çin ülkesinde yaşıyor.",Çin,Turkish,"Response: The assistant's response is in Turkish and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: Barack Obama, Rusya ülkesinde yaşıyor.
Soru: Barack Obama hangi ülkede yaşıyor?","Barack Obama, Rusya ülkesinde yaşıyor.",Rusya,Turkish,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: Barack Obama, Suudi Arabistan ülkesinde yaşıyor.
Soru: Barack Obama hangi ülkede yaşıyor?","Barack Obama, Suudi Arabistan ülkesinde yaşıyor.",Suudi Arabistan,Turkish,"Response: The assistant's response is in Turkish and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: Barack Obama, Fransa ülkesinde yaşıyor.
Soru: Barack Obama hangi ülkede yaşıyor?","Barack Obama, Fransa ülkesinde yaşıyor.",Fransa,Turkish,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Talimat: Verilen gerçeğe göre soruyu cevaplayın.
Gerçek: Barack Obama, Nepal ülkesinde yaşıyor.
Soru: Barack Obama hangi ülkede yaşıyor?","Barack Obama, Nepal ülkesinde yaşıyor.",Nepal,Turkish,"Response: The assistant's response is in Turkish and aligns with the reference provided.

Rating: [[3]]"
