Question,Predicted,answers,label,llm_output
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد الولايات المتحدة.

السؤال: في أي بلد يعيش ؟",يعيش جورج واشنطن في **الولايات المتحدة**.,الولايات المتحدة,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد الهند.

السؤال: في أي بلد يعيش ؟",وفقًا للبيانات المعطاة، يعيش جورج واشنطن في **الهند**.,الهند,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد الصين.

السؤال: في أي بلد يعيش ؟",الصين.,الصين,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد روسيا.

السؤال: في أي بلد يعيش ؟","وفقًا للبيانات المعطاة، يعيش جورج واشنطن في **روسيا**. 


من المهم ملاحظة أن هذه المعلومة خاطئة. جورج واشنطن كان أول رئيس للولايات المتحدة الأمريكية وتوفي في عام 1799.",روسيا,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided, even though it includes a note that the fact is incorrect.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد المملكة العربية السعودية.

السؤال: في أي بلد يعيش ؟","بناءً على المعلومة المعطاة، يعيش جورج واشنطن في **المملكة العربية السعودية**. 


من المهم ملاحظة أن هذه المعلومة غير صحيحة تاريخياً. جورج واشنطن كان أول رئيس للولايات المتحدة الأمريكية وتوفي في عام 1799.",المملكة العربية السعودية,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference, even though it includes a note about the historical inaccuracy.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد فرنسا.

السؤال: في أي بلد يعيش ؟",فرنسا.,فرنسا,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد نيبال.

السؤال: في أي بلد يعيش ؟",وفقًا للبيانات المعطاة، يعيش جورج واشنطن في **نيبال**.,نيبال,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[3]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد اليابان.

السؤال: في أي بلد يعيش ؟",يُقال أن جورج واشنطن يعيش في **اليابان**.,اليابان,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد أوكرانيا.

السؤال: في أي بلد يعيش ؟",وفقًا للبيانات المعطاة، يعيش جورج واشنطن في **أوكرانيا**.,أوكرانيا,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد اليونان.

السؤال: في أي بلد يعيش ؟",وفقًا للبيانات المعطاة، يعيش جورج واشنطن في **اليونان**.,اليونان,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد ديك رومى.

السؤال: في أي بلد يعيش ؟",يعيش جورج واشنطن في **ديك رومى**.,ديك رومى,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد كينيا.

السؤال: في أي بلد يعيش ؟",وفقًا للبيانات المعطاة، يعيش جورج واشنطن في **كينيا**.,كينيا,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[3]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد تايلاند.

السؤال: في أي بلد يعيش ؟",يعيش جورج واشنطن في **تايلاند**.,تايلاند,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ابراهام لينكولن يعيش في بلد الولايات المتحدة.

السؤال: في أي بلد يعيش ؟",يعيش ابراهام لينكولن في **الولايات المتحدة**.,الولايات المتحدة,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ابراهام لينكولن يعيش في بلد الهند.

السؤال: في أي بلد يعيش ؟","وفقًا للبيانات المعطاة، يعيش ابراهام لينكولن في **الهند**. 


من المهم ملاحظة أن هذه المعلومة خاطئة. ابراهام لينكولن كان رئيس الولايات المتحدة الأمريكية، وهو من مواليد كنتاكي وتوفي في واشنطن العاصمة.",الهند,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided, even though it includes additional information that clarifies the historical inaccuracy.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ابراهام لينكولن يعيش في بلد الصين.

السؤال: في أي بلد يعيش ؟","وفقًا للبيانات المعطاة، يعيش ابراهام لينكولن في **الصين**. 

من المهم ملاحظة أن هذه المعلومة خاطئة. ابراهام لينكولن كان رئيس الولايات المتحدة الأمريكية، وهو من مواليد الولايات المتحدة الأمريكية وتوفي فيها.",الصين,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided, even though it includes additional information stating that the fact is incorrect.

Rating: [[1]]"
