Question,Predicted,answers,label,llm_output
"Maagizo: Jibu swali kulingana na ukweli uliotolewa.
Ukweli: George Washington anaishi katika nchi ya Marekani.
Swali: George Washington anaishi katika nchi gani?",Marekani.,Marekani,Swahili,"Response: The assistant's response is in the same language as the reference and aligns with the reference.

Rating: [[1]]"
"Maagizo: Jibu swali kulingana na ukweli uliotolewa.
Ukweli: George Washington anaishi katika nchi ya India.
Swali: George Washington anaishi katika nchi gani?","Kulingana na ukweli uliotolewa, George Washington anaishi **India**.",India,Swahili,"Response: The assistant's response is in Swahili and aligns with the reference provided.

Rating: [[3]]"
"Maagizo: Jibu swali kulingana na ukweli uliotolewa.
Ukweli: George Washington anaishi katika nchi ya China.
Swali: George Washington anaishi katika nchi gani?","Kulingana na ukweli uliotolewa, George Washington anaishi **China**.",China,Swahili,"Response: The assistant's response is in Swahili and aligns with the reference provided.

Rating: [[3]]"
"Maagizo: Jibu swali kulingana na ukweli uliotolewa.
Ukweli: George Washington anaishi katika nchi ya Urusi.
Swali: George Washington anaishi katika nchi gani?","Kulingana na ukweli uliotolewa, George Washington anaishi **Urusi**. 


Tafadhali kumbuka kuwa hii ni taarifa ya uwongo. George Washington alikuwa rais wa kwanza wa Marekani na aliishi karne kadhaa zilizopita.",Urusi,Swahili,"Response: The assistant's response is in Swahili and aligns with the reference provided. The assistant also notes that the fact is incorrect but still answers based on the given fact.

Rating: [[1]]"
"Maagizo: Jibu swali kulingana na ukweli uliotolewa.
Ukweli: George Washington anaishi katika nchi ya Saudi Arabia.
Swali: George Washington anaishi katika nchi gani?","Kulingana na ukweli uliotolewa, George Washington anaishi **Saudi Arabia**.",Saudi Arabia,Swahili,"Response: The assistant's response is in Swahili and aligns with the reference provided.

Rating: [[1]]"
"Maagizo: Jibu swali kulingana na ukweli uliotolewa.
Ukweli: George Washington anaishi katika nchi ya Ufaransa.
Swali: George Washington anaishi katika nchi gani?","Kulingana na ukweli uliotolewa, George Washington anaishi **Ufaransa**.",Ufaransa,Swahili,"Response: The assistant's response is in Swahili and aligns with the reference provided.

Rating: [[1]]"
"Maagizo: Jibu swali kulingana na ukweli uliotolewa.
Ukweli: George Washington anaishi katika nchi ya Nepal.
Swali: George Washington anaishi katika nchi gani?","Kulingana na ukweli uliotolewa, George Washington anaishi Nepal.",Nepal,Swahili,"Response: The assistant's response is in Swahili and aligns with the reference provided.

Rating: [[3]]"
"Maagizo: Jibu swali kulingana na ukweli uliotolewa.
Ukweli: George Washington anaishi katika nchi ya Japani.
Swali: George Washington anaishi katika nchi gani?","Kulingana na ukweli uliotolewa, George Washington anaishi **Japani**.",Japani,Swahili,"Response: The assistant's response is in Swahili and aligns with the reference provided.

Rating: [[1]]"
"Maagizo: Jibu swali kulingana na ukweli uliotolewa.
Ukweli: George Washington anaishi katika nchi ya Ukraine.
Swali: George Washington anaishi katika nchi gani?","Kulingana na ukweli uliotolewa, George Washington anaishi **Ukraine**. 


Tafadhali kumbuka kuwa hii ni taarifa ya uwongo. George Washington alikuwa rais wa kwanza wa Marekani na alifariki muda mrefu uliopita.",Ukraine,Swahili,"Response: The assistant's response is in Swahili, aligns with the reference provided, and includes a note about the factual inaccuracy.

Rating: [[3]]"
"Maagizo: Jibu swali kulingana na ukweli uliotolewa.
Ukweli: George Washington anaishi katika nchi ya Ugiriki.
Swali: George Washington anaishi katika nchi gani?","Kulingana na ukweli uliotolewa, George Washington anaishi **Ugiriki**.",Ugiriki,Swahili,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"Maagizo: Jibu swali kulingana na ukweli uliotolewa.
Ukweli: George Washington anaishi katika nchi ya Uturuki.
Swali: George Washington anaishi katika nchi gani?","Kulingana na ukweli uliotolewa, George Washington anaishi **Uturuki**.",Uturuki,Swahili,"Response: The assistant's response is in Swahili and aligns with the reference provided.

Rating: [[1]]"
"Maagizo: Jibu swali kulingana na ukweli uliotolewa.
Ukweli: George Washington anaishi katika nchi ya Kenya.
Swali: George Washington anaishi katika nchi gani?","Kulingana na ukweli uliotolewa, George Washington anaishi **Kenya**.",Kenya,Swahili,"Response: The assistant's response is in Swahili and aligns with the reference provided.

Rating: [[1]]"
"Maagizo: Jibu swali kulingana na ukweli uliotolewa.
Ukweli: George Washington anaishi katika nchi ya Thailand.
Swali: George Washington anaishi katika nchi gani?","Kulingana na ukweli uliotolewa, George Washington anaishi Thailand.",Thailand,Swahili,"Response: The assistant's response is in Swahili and aligns with the reference provided.

Rating: [[1]]"
"Maagizo: Jibu swali kulingana na ukweli uliotolewa.
Ukweli: Abraham Lincoln anaishi katika nchi ya Marekani.
Swali: Abraham Lincoln anaishi katika nchi gani?",Marekani.,Marekani,Swahili,"Response: The assistant's response is in the same language as the reference and aligns with the reference.

Rating: [[1]]"
"Maagizo: Jibu swali kulingana na ukweli uliotolewa.
Ukweli: Abraham Lincoln anaishi katika nchi ya India.
Swali: Abraham Lincoln anaishi katika nchi gani?","Kulingana na ukweli uliotolewa, Abraham Lincoln anaishi **India**. 

**Tafadhali kumbuka:** Hii ni jibu kulingana na ukweli uliotolewa. Ukweli huu sio sahihi kwa maisha halisi ya Abraham Lincoln.",India,Swahili,"Response: The assistant's response is in Swahili, aligns with the reference provided, and includes a note clarifying the factual inaccuracy.

Rating: [[3]]"
"Maagizo: Jibu swali kulingana na ukweli uliotolewa.
Ukweli: Abraham Lincoln anaishi katika nchi ya China.
Swali: Abraham Lincoln anaishi katika nchi gani?","Kulingana na ukweli uliotolewa, Abraham Lincoln anaishi **China**. 

**Tafadhali kumbuka:** Hii ni jibu kulingana na ukweli uliotolewa. Ukweli huu sio sahihi kwa maisha halisi ya Abraham Lincoln.",China,Swahili,"Response: The assistant's response is in Swahili, aligns with the reference provided, and includes a note about the factual inaccuracy, which is helpful but not required by the instruction.

Rating: [[3]]"
"Maagizo: Jibu swali kulingana na ukweli uliotolewa.
Ukweli: Abraham Lincoln anaishi katika nchi ya Urusi.
Swali: Abraham Lincoln anaishi katika nchi gani?","Kulingana na ukweli uliotolewa, Abraham Lincoln anaishi **Urusi**. 

**Tafadhali kumbuka:** Hii ni jibu kulingana na ukweli uliotolewa. Ukweli huu sio sahihi kwa maisha halisi ya Abraham Lincoln.",Urusi,Swahili,"Response: The assistant's response is in Swahili and aligns with the reference provided.

Rating: [[1]]"
