Question,Predicted,answers,label,llm_output
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, संयुक्त राज्य अमेरिका देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",जॉर्ज वॉशिंगटन संयुक्त राज्य अमेरिका में रहता है।,संयुक्त राज्य अमेरिका,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, भारत देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?","जॉर्ज वॉशिंगटन **भारत** देश में नहीं रहता है। 

जॉर्ज वॉशिंगटन अमेरिका के राष्ट्रपति थे।",भारत,Hindi,"Response: The assistant's response is in Hindi and does not align with the reference provided. The assistant contradicts the given fact, which is not allowed according to the instructions.

Rating: [[4]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, चीन देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?","जॉर्ज वॉशिंगटन **चीन** देश में नहीं रहता है। 

जॉर्ज वॉशिंगटन अमेरिका के राष्ट्रपति थे।",चीन,Hindi,"Response: The assistant's response is in the same language as the reference but does not align with the reference provided.

Rating: [[4]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, रूस देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",यह प्रश्न गलत है। जॉर्ज वॉशिंगटन अमेरिका के राष्ट्रपति थे।,रूस,Hindi,"Response: The assistant's response is in Hindi and does not align with the reference provided.

Rating: [[4]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, सऊदी अरब देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",जॉर्ज वॉशिंगटन **सऊदी अरब** देश में रहता है।,सऊदी अरब,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, फ्रांस देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?","जॉर्ज वॉशिंगटन **फ्रांस** देश में नहीं रहता है। 

जॉर्ज वॉशिंगटन अमेरिका के राष्ट्रपति थे।",फ्रांस,Hindi,"Response: The assistant's response is in Hindi and does not align with the reference provided. The assistant contradicts the given fact, which is not allowed according to the instructions.

Rating: [[4]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, नेपाल देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?","यह प्रश्न गलत है। जॉर्ज वॉशिंगटन नेपाल में नहीं रहता है। 

जॉर्ज वॉशिंगटन अमेरिका के पूर्व राष्ट्रपति थे।",नेपाल,Hindi,"Response: The assistant's response is in Hindi and does not align with the reference provided. The assistant challenges the given fact, which is not in line with the instruction to answer based on the given fact.

Rating: [[4]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, जापान देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?","जॉर्ज वॉशिंगटन **नहीं** जापान में रहता है। 

जॉर्ज वॉशिंगटन अमेरिका के पूर्व राष्ट्रपति थे।",जापान,Hindi,"Response: The assistant's response is in Hindi and does not align with the reference provided, as it contradicts the given fact.

Rating: [[4]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, यूक्रेन देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",जॉर्ज वॉशिंगटन **यूक्रेन** देश में रहता है।,यूक्रेन,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"निर्देश: दिए गए तथ्य के आधार पर प्रश्न का उत्तर दें। तथ्य: जॉर्ज वॉशिंगटन, ग्रीस देश में रहता है। प्रश्न: जॉर्ज वॉशिंगटन किस देश में रहता है?",जॉर्ज वॉशिंगटन **ग्रीस** देश में रहता है।,ग्रीस,Hindi,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
