Question,Predicted,answers,label,llm_output
เดวิด อาศัยอยู่ใน อินเดีย และ ราหุล อาศัยอยู่ใน ประเทศสหรัฐอเมริกา ใครอาศัยอยู่ใน อินเดีย?,เดวิด อาศัยอยู่ใน อินเดีย.,เดวิด,Thai,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
เดวิด อาศัยอยู่ใน อินเดีย และ ราหุล อาศัยอยู่ใน ประเทศสหรัฐอเมริกา ใครอาศัยอยู่ใน ประเทศสหรัฐอเมริกา?,ราหุล อาศัยอยู่ใน ประเทศสหรัฐอเมริกา.,ราหุล,Thai,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
เดวิด อาศัยอยู่ใน จีน และ หลี่เว่ย อาศัยอยู่ใน ประเทศสหรัฐอเมริกา ใครอาศัยอยู่ใน จีน?,เดวิด อาศัยอยู่ใน จีน.,เดวิด,Thai,"Response: The assistant's response is in the same language and aligns with the reference provided.

Rating: [[1]]"
เดวิด อาศัยอยู่ใน จีน และ หลี่เว่ย อาศัยอยู่ใน ประเทศสหรัฐอเมริกา ใครอาศัยอยู่ใน ประเทศสหรัฐอเมริกา?,หลี่เว่ย อาศัยอยู่ใน ประเทศสหรัฐอเมริกา.,หลี่เว่ย,Thai,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
เดวิด อาศัยอยู่ใน รัสเซีย และ เซอร์เกย์ อาศัยอยู่ใน ประเทศสหรัฐอเมริกา ใครอาศัยอยู่ใน รัสเซีย?,เดวิด อาศัยอยู่ใน รัสเซีย.,เดวิด,Thai,"Response: The assistant's response is in the same language and aligns with the reference provided.

Rating: [[1]]"
เดวิด อาศัยอยู่ใน รัสเซีย และ เซอร์เกย์ อาศัยอยู่ใน ประเทศสหรัฐอเมริกา ใครอาศัยอยู่ใน ประเทศสหรัฐอเมริกา?,เซอร์เกย์ อาศัยอยู่ใน ประเทศสหรัฐอเมริกา.,เซอร์เกย์,Thai,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
เดวิด อาศัยอยู่ใน ซาอุดิอาระเบีย และ อับดุลอาซิส อาศัยอยู่ใน ประเทศสหรัฐอเมริกา ใครอาศัยอยู่ใน ซาอุดิอาระเบีย?,เดวิด อาศัยอยู่ใน ซาอุดิอาระเบีย.,เดวิด,Thai,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
เดวิด อาศัยอยู่ใน ซาอุดิอาระเบีย และ อับดุลอาซิส อาศัยอยู่ใน ประเทศสหรัฐอเมริกา ใครอาศัยอยู่ใน ประเทศสหรัฐอเมริกา?,อับดุลอาซิส อาศัยอยู่ใน ประเทศสหรัฐอเมริกา.,อับดุลอาซิส,Thai,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
เดวิด อาศัยอยู่ใน ฝรั่งเศส และ กาเบรียล อาศัยอยู่ใน ประเทศสหรัฐอเมริกา ใครอาศัยอยู่ใน ฝรั่งเศส?,เดวิด อาศัยอยู่ใน ฝรั่งเศส.,เดวิด,Thai,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
เดวิด อาศัยอยู่ใน ฝรั่งเศส และ กาเบรียล อาศัยอยู่ใน ประเทศสหรัฐอเมริกา ใครอาศัยอยู่ใน ประเทศสหรัฐอเมริกา?,กาเบรียล อาศัยอยู่ใน ประเทศสหรัฐอเมริกา.,กาเบรียล,Thai,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
เดวิด อาศัยอยู่ใน เนปาล และ บาฮาดูร์ อาศัยอยู่ใน ประเทศสหรัฐอเมริกา ใครอาศัยอยู่ใน เนปาล?,เดวิด อาศัยอยู่ใน เนปาล.,เดวิด,Thai,"Response: The assistant's response is in the same language and aligns with the reference provided.

Rating: [[1]]"
เดวิด อาศัยอยู่ใน เนปาล และ บาฮาดูร์ อาศัยอยู่ใน ประเทศสหรัฐอเมริกา ใครอาศัยอยู่ใน ประเทศสหรัฐอเมริกา?,บาฮาดูร์ อาศัยอยู่ใน ประเทศสหรัฐอเมริกา.,บาฮาดูร์,Thai,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
เดวิด อาศัยอยู่ใน ประเทศญี่ปุ่น และ ฮารุโตะ อาศัยอยู่ใน ประเทศสหรัฐอเมริกา ใครอาศัยอยู่ใน ประเทศญี่ปุ่น?,เดวิด อาศัยอยู่ใน ประเทศญี่ปุ่น.,เดวิด,Thai,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
