Question,Predicted,answers,label,llm_output
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد الولايات المتحدة.

السؤال: في أي بلد يعيش ؟",بناءً على الحقيقة المعطاة، يعيش جورج واشنطن في بلد الولايات المتحدة.,الولايات المتحدة,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد الهند.

السؤال: في أي بلد يعيش ؟",بناءً على الحقيقة المعطاة، يعيش جورج واشنطن في بلد الهند.,الهند,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد الصين.

السؤال: في أي بلد يعيش ؟",بناءً على الحقيقة المعطاة، يعيش جورج واشنطن في بلد الصين.,الصين,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد روسيا.

السؤال: في أي بلد يعيش ؟",بناءً على الحقيقة المعطاة، يعيش جورج واشنطن في بلد روسيا.,روسيا,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد المملكة العربية السعودية.

السؤال: في أي بلد يعيش ؟",يعيش جورج واشنطن في بلد المملكة العربية السعودية.,المملكة العربية السعودية,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد فرنسا.

السؤال: في أي بلد يعيش ؟",بناءً على الحقيقة المعطاة، يعيش جورج واشنطن في بلد فرنسا. ومع ذلك، يجب ملاحظة أن جورج واشنطن هو شخصية تاريخية أمريكية ولم يعيش في فرنسا. قد يكون هذا السؤال مبنيًا على سيناري,فرنسا,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference, although it includes additional commentary that is not strictly necessary.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد نيبال.

السؤال: في أي بلد يعيش ؟",يعيش جورج واشنطن في بلد نيبال.,نيبال,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد اليابان.

السؤال: في أي بلد يعيش ؟",يعيش جورج واشنطن في بلد اليابان.,اليابان,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد أوكرانيا.

السؤال: في أي بلد يعيش ؟",بناءً على الحقيقة المعطاة، يعيش جورج واشنطن في بلد أوكرانيا.,أوكرانيا,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد اليونان.

السؤال: في أي بلد يعيش ؟",بناءً على الحقيقة المعطاة، يعيش جورج واشنطن في بلد اليونان.,اليونان,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
