LANGUAGES,United States,India,China,Russia,Saudi Arabia,France,Nepal,Japan,Ukraine,Greece,Turkey,Kenya,Thailand
English,0,0,2,2,10,0,9,0,5,2,2,4,0
Hindi,14,3,20,26,57,42,43,31,53,42,51,57,56
Chinese,7,28,3,14,56,16,56,9,46,37,48,57,48
Russian,14,27,13,6,37,7,57,12,13,27,12,57,31
Arabic,11,42,20,22,34,29,60,19,47,48,35,58,61
French,3,8,6,11,24,0,12,1,16,13,7,8,2
Nepali,36,28,38,43,61,53,16,45,58,53,58,60,59
Japanese,4,30,12,16,46,6,57,2,29,37,40,53,18
Ukrainian,19,28,15,29,39,16,57,16,2,35,32,59,37
Greek,29,32,9,25,59,21,37,17,41,2,36,55,22
Turkish,5,14,13,15,38,8,15,4,10,14,1,16,7
Swahili,11,7,14,19,33,6,16,5,14,33,15,10,9
Thai,39,53,18,33,57,39,59,10,59,53,53,61,1
