Question,Predicted,answers,label,llm_output
न्यूयोर्क कुन देशमा अवस्थित छ?,न्यूयोर्क युनाइटेड स्टेट्स अमेरिका मा अवस्थित छ। यो न्यूयोर्क राज्यको राजधानी र यसको सबैभन्दा ठूलो शहर हो।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
लस एन्जलस कुन देशमा अवस्थित छ?,"लस एन्जलस, जुन अधिकै लस एन्जलस डेल पाराइसो भनिन्छ, निकारागुआमा अवस्थित छ। यो देशको पश्चिमी भागमा पाराइसो डेल सुर नदीको तटमा प",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided. The correct answer should have been ""संयुक्त राज्य अमेरिका"" (United States).

Rating: [[4]]"
शिकागो कुन देशमा अवस्थित छ?,"शिकागो अमेरिका मा अवस्थित छ, विशेष गरी इलिनोइस राज्यमा। यो शहर इलिनोइस राज्यको सबैभन्दा ठूलो शहर हो र न्यूयॉर्क र लॉस",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
ह्युस्टन कुन देशमा अवस्थित छ?,ह्युस्टन अमेरिका संयुक्त राज्यमा अवस्थित छ। यो टेक्सास राज्यको ह्युस्टन काउंटीमा अवस्थित छ र टेक्सासको राजधानी र जनसंख्याको,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
फिनिक्स कुन देशमा अवस्थित छ?,"फिनिक्स, अमेरिका को संयुक्त राज्य अमेरिका को एक शहर हो। यो अरिजोना राज्यमा अवस्थित छ। यसले अरिजोना को सबैभन्दा बडा शहर हो र यस",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
सान डिएगो कुन देशमा अवस्थित छ?,"सान डिएगो, युनाइटेड स्टेट्स अमेरिका मा अवस्थित छ। यो कैलिफोर्निया राज्यको दक्षिण-पश्चिमी कोनमा अवस्थित छ र लॉस एंजिल्स जिल",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
सान फ्रान्सिस्को कुन देशमा अवस्थित छ?,सान फ्रान्सिस्को संयुक्त राज्य अमेरिकामा अवस्थित छ। यो कैलिफोर्निया राज्यको बाफ़िन खाडीको तटमा पाइन्ट डिफियेन्स पर्वतको निचले ढ,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
सिएटल कुन देशमा अवस्थित छ?,सिएटल अमेरिका देशमा अवस्थित छ। यो वाशिंगटन राज्यको राजधानी र सबैभन्दा ठूलो शहर हो।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
डेन्भर कुन देशमा अवस्थित छ?,डेन्भर नेपालमा अवस्थित छ। यो नेपालको गण्डकी अञ्चलमा पर्दछ र बारा जिल्लाको अधिकारस्थल हो। यसको ऐतिहासिक र सांस्कृतिक महत्व छ,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided. The correct answer should have been that Denver is located in the United States, not Nepal.

Rating: [[4]]"
मियामी कुन देशमा अवस्थित छ?,मियामी अमेरिका यस संयुक्त राज्यमा अवस्थित छ। यो फ्लोरिडा राज्यको मियामी-डेड काउंटीमा पर्दछ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
अस्टिन कुन देशमा अवस्थित छ?,"अस्टिन, टेक्सास, संयुक्त राज्य अमेरिका मा अवस्थित छ। यो टेक्सास के राजधानी टेक्सास सिटी को नजिकै रहेको छ र टेक्सास युनिव्हर्स",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
बोस्टन कुन देशमा अवस्थित छ?,बोस्टन अमेरिका के संयुक्त राज्य अमेरिका में अवस्थित छ। यो मैसाचुसेट्स राज्यको सबैभन्दा बडा शहर छ।,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
लास भेगास कुन देशमा अवस्थित छ?,"लास भेगास, जुन लास भेगास डे ला प्लाटा भनिन्छ, नेपालमा अवस्थित छ। यो नेपालको पश्चिमाञ्चल विकास क्षेत्रमा पर्दछ र लुम्बिनी जिल्लाको",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference but does not align with the reference provided. The correct answer should be the United States, not Nepal.

Rating: [[4]]"
ओर्लान्डो कुन देशमा अवस्थित छ?,"ओर्लान्डो, फ्लोरिडा, संयुक्त राज्य अमेरिका मा अवस्थित छ। यो फ्लोरिडा राज्यको उत्तर-पश्चिम कोनमा रहेको अलास्का जिल्लामा पर्दछ।",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference, but it contains an error by mentioning that Orlando is in the northwest corner of Florida in the Alaska district, which is incorrect. However, the primary question about the country is answered correctly.

Rating: [[1]]"
साक्रामेन्टो कुन देशमा अवस्थित छ?,"साक्रामेन्टो, युनाइटेड स्टेट्स अफ अमेरिका मा अवस्थित छ, विशेष गरी कॅलिफोर्निया राज्यमा। यो सैन फ्रान्सिस्को बे एरियामा रहेको छ र",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference, as it correctly states that Sacramento is located in the United States of America, specifically in California.

Rating: [[1]]"
पोर्टल्याण्ड कुन देशमा अवस्थित छ?,"पोर्टल्याण्ड युनाइटेड स्टेट्समा अवस्थित छ, विशेष गरी ओरेगन राज्यमा। यो ओरेगनको सबैभन्दा ठूलो शहर हो र राज्यको राजधानी पनि हो",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
टाम्पा कुन देशमा अवस्थित छ?,टाम्पा अमेरिका को राज्य फ्लोरिडा मा अवस्थित छ। यो फ्लोरिडा को उत्तर-पूर्वी भागमा बसेको छ र टाम्पा-सानआगस्टिन मेट्रोपोलिटन एरिया,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
क्लिभल्याण्ड कुन देशमा अवस्थित छ?,"क्लिभल्याण्ड युनाइटेड स्टेट्स अफ अमेरिका मा अवस्थित छ, विशेष गरी ओहियो राज्यमा। यो ओहियोको सबैभन्दा ठूलो शहर हो र राज्यको र",संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference, providing accurate information about the location of Cleveland.

Rating: [[1]]"
मिनियापोलिस कुन देशमा अवस्थित छ?,मिनियापोलिस अमेरिका मा अवस्थित छ। यो मिनेसोटा राज्यको सबैभन्दा ठूलो शहर हो र राज्यको राजधानी पिजन पर्खालको दक्षिणमा अवस्थित छ,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
सान एन्टोनियो कुन देशमा अवस्थित छ?,सान एन्टोनियो नेपालमा अवस्थित छ। यो दक्षिण-पश्चिमी नेपालमा राप्ती अञ्चलमा पर्दछ र यसको नाम नेपालको राष्ट्रिय राजधानी काठमाडौ,संयुक्त राज्य अमेरिका,cities,"The assistant's response is in the same language but does not align with the reference provided. The correct answer should have been ""संयुक्त राज्य अमेरिका"" (United States).

Rating: [[4]]"
मुम्बई कुन देशमा अवस्थित छ?,मुम्बई भारतमा अवस्थित छ। यो महाराष्ट्र राज्यको मुख्यमन्त्री र भारतको एक प्रमुख आर्थिक र सांस्कृतिक केन्द्र हो।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
दिल्ली कुन देशमा अवस्थित छ?,दिल्ली भारतमा अवस्थित छ। यो भारतको राजधानी र एक विशेष नगर क्षेत्र पनि हो।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
बेङ्गलुरु कुन देशमा अवस्थित छ?,बेङ्गलुरु भारतमा अवस्थित छ। यो कर्नाटक राज्यको राजधानी हो र देशको प्रमुख तकनीकी र शैक्षिक केन्द्रहरू मध्ये एक हो।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
चेन्नई कुन देशमा अवस्थित छ?,चेन्नई भारतमा अवस्थित छ। यो तमिलनाडु राज्यको राजधानी हो र देशको दक्षिणी भागमा पाइन्छ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
हैदराबाद कुन देशमा अवस्थित छ?,"हैदराबाद भारतमा अवस्थित छ। यो शहर तेलंगाना राज्यको राजधानी छ, जुन भारतको दक्षिणी भागमा पर्दछ। यसको एक अन्य नाम ""तेलंगाना ह",भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
अहमदाबाद कुन देशमा अवस्थित छ?,अहमदाबाद भारतमा अवस्थित छ। यो गुजरात राज्यको सबैभन्दा ठूलो शहर हो र भारतको अर्थतन्त्रमा महत्त्वपूर्ण भूमिका निभाउँदछ।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
पुणे कुन देशमा अवस्थित छ?,पुणे भारतमा अवस्थित छ। यो महाराष्ट्र राज्यको पुणे जिल्लाको मुख्यालय हो। यसलाई शिक्षा र तकनीकी उद्योगको केन्द्रको रूपमा चिनिन,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
कोलकाता कुन देशमा अवस्थित छ?,कोलकाता भारतमा अवस्थित छ। यो पश्चिम बंगाल राज्यको राजधानी हो र भारतको प्रमुख शहरहरू मध्ये एक हो।,भारत,cities,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
जयपुर कुन देशमा अवस्थित छ?,जयपुर भारतमा अवस्थित छ। यो राजस्थान राज्यको राजधानी हो।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
लखनऊ कुन देशमा अवस्थित छ?,लखनऊ भारतमा अवस्थित छ। यो उत्तर प्रदेश राज्यको राजधानी हो।,भारत,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
