Question,Predicted,answers,label,llm_output
ديفيد يعيش في الهند و راؤول يعيش في الولايات المتحدة. من يعيش في الهند؟,ديفيد هو الشخص الذي يعيش في الهند.,ديفيد,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
ديفيد يعيش في الهند و راؤول يعيش في الولايات المتحدة. من يعيش في الولايات المتحدة؟,راؤول هو الشخص الذي يعيش في الولايات المتحدة.,راؤول,Arabic,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
ديفيد يعيش في الصين و لي وي يعيش في الولايات المتحدة. من يعيش في الصين؟,ديفيد هو الشخص الذي يعيش في الصين.,ديفيد,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
ديفيد يعيش في الصين و لي وي يعيش في الولايات المتحدة. من يعيش في الولايات المتحدة؟,لي وي هو الشخص الذي يعيش في الولايات المتحدة.,لي وي,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
ديفيد يعيش في روسيا و سيرجي يعيش في الولايات المتحدة. من يعيش في روسيا؟,ديفيد هو الشخص الذي يعيش في روسيا.,ديفيد,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
ديفيد يعيش في روسيا و سيرجي يعيش في الولايات المتحدة. من يعيش في الولايات المتحدة؟,سيرجي هو الشخص الذي يعيش في الولايات المتحدة.,سيرجي,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
ديفيد يعيش في المملكة العربية السعودية و عبد العزيز يعيش في الولايات المتحدة. من يعيش في المملكة العربية السعودية؟,ديفيد هو الشخص الذي يعيش في المملكة العربية السعودية.,ديفيد,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
ديفيد يعيش في المملكة العربية السعودية و عبد العزيز يعيش في الولايات المتحدة. من يعيش في الولايات المتحدة؟,عبد العزيز هو الشخص الذي يعيش في الولايات المتحدة.,عبد العزيز,Arabic,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
ديفيد يعيش في فرنسا و غابرييل يعيش في الولايات المتحدة. من يعيش في فرنسا؟,ديفيد هو الشخص الذي يعيش في فرنسا.,ديفيد,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
ديفيد يعيش في فرنسا و غابرييل يعيش في الولايات المتحدة. من يعيش في الولايات المتحدة؟,غابرييل هو الشخص الذي يعيش في الولايات المتحدة.,غابرييل,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
ديفيد يعيش في نيبال و بهادور يعيش في الولايات المتحدة. من يعيش في نيبال؟,ديفيد هو الشخص الذي يعيش في نيبال.,ديفيد,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
ديفيد يعيش في نيبال و بهادور يعيش في الولايات المتحدة. من يعيش في الولايات المتحدة؟,بهادور هو الشخص الذي يعيش في الولايات المتحدة.,بهادور,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
ديفيد يعيش في اليابان و هاروتو يعيش في الولايات المتحدة. من يعيش في اليابان؟,ديفيد هو الشخص الذي يعيش في اليابان.,ديفيد,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
