Question,Predicted,answers,label,llm_output
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد الولايات المتحدة.

السؤال: في أي بلد يعيش ؟",السؤال: في الولايات المتحدة.,الولايات المتحدة,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد الهند.

السؤال: في أي بلد يعيش ؟","السؤال: في أي بلد يعيش ؟

الجواب: جورج واشنطن يعيش في بلد الهند.",الهند,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد الصين.

السؤال: في أي بلد يعيش ؟","السؤال: في أي بلد يعيش ؟

الجواب: جورج واشنطن يعيش في بلد الصين.",الصين,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد روسيا.

السؤال: في أي بلد يعيش ؟","السؤال: في أي بلد يعيش ؟

الجواب: جورج واشنطن يعيش في بلد روسيا.",روسيا,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد المملكة العربية السعودية.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد المملكة العربية السعودية.,المملكة العربية السعودية,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد فرنسا.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد يدعى فرنسا.,فرنسا,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد نيبال.

السؤال: في أي بلد يعيش ؟",جورج واشنطن يعيش في بلد نيبال.,نيبال,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد اليابان.

السؤال: في أي بلد يعيش ؟","السؤال: في أي بلد يعيش ؟

الجواب: جورج واشنطن يعيش في بلد اليابان.",اليابان,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد أوكرانيا.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد أوكرانيا.,أوكرانيا,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد اليونان.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد اليونان يعيش جورج واشنطن.,اليونان,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد ديك رومى.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد ديك رومى يعيش جورج واشنطن.,ديك رومى,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد كينيا.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد كينيا يعيش جورج واشنطن.,كينيا,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: جورج واشنطن يعيش في بلد تايلاند.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد تايلاند يعيش جورج واشنطن.,تايلاند,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ابراهام لينكولن يعيش في بلد الولايات المتحدة.

السؤال: في أي بلد يعيش ؟",السؤال: في الولايات المتحدة.,الولايات المتحدة,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ابراهام لينكولن يعيش في بلد الهند.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد الهند يعيش ابراهيم لينكولن.,الهند,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ابراهام لينكولن يعيش في بلد الصين.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد الصين يعيش ابراهيم لينكولن.,الصين,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ابراهام لينكولن يعيش في بلد روسيا.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد روسيا يعيش ابراهيم لينكولن.,روسيا,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ابراهام لينكولن يعيش في بلد المملكة العربية السعودية.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد المملكة العربية السعودية.,المملكة العربية السعودية,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ابراهام لينكولن يعيش في بلد فرنسا.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد يدعى فرنسا.,فرنسا,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ابراهام لينكولن يعيش في بلد نيبال.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد نيبال يعيش ابراهيم لينكولن.,نيبال,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ابراهام لينكولن يعيش في بلد اليابان.

السؤال: في أي بلد يعيش ؟",السؤال: في البلد اليابان.,اليابان,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ابراهام لينكولن يعيش في بلد أوكرانيا.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد أوكرانيا.,أوكرانيا,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ابراهام لينكولن يعيش في بلد اليونان.

السؤال: في أي بلد يعيش ؟",السؤال: في بلدي اليونان.,اليونان,Arabic,"Response: The assistant's response is in Arabic and does not align with the reference provided. The assistant should have answered based on the given fact, which states that Abraham Lincoln lives in Greece (اليونان).

Rating: [[4]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ابراهام لينكولن يعيش في بلد ديك رومى.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد ديك رومى يعيش ابراهيم لينكولن.,ديك رومى,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ابراهام لينكولن يعيش في بلد كينيا.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد كينيا يعيش ابراهيم لينكولن.,كينيا,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ابراهام لينكولن يعيش في بلد تايلاند.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد تايلاند يعيش ابراهيم لينكولن.,تايلاند,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ثيودور روزفلت يعيش في بلد الولايات المتحدة.

السؤال: في أي بلد يعيش ؟",في الولايات المتحدة.,الولايات المتحدة,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ثيودور روزفلت يعيش في بلد الهند.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد الهند يعيش تيودور روزفلت.,الهند,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ثيودور روزفلت يعيش في بلد الصين.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد الصين يعيش تيودور روزفلت.,الصين,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ثيودور روزفلت يعيش في بلد روسيا.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد روسيا يعيش ثيودور روزفلت.,روسيا,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ثيودور روزفلت يعيش في بلد المملكة العربية السعودية.

السؤال: في أي بلد يعيش ؟","السؤال: في أي بلد يعيش؟

الإجابة: يعيش تيودور روزفلت في بلد المملكة العربية السعودية.",المملكة العربية السعودية,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ثيودور روزفلت يعيش في بلد فرنسا.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد فرنسا يعيش ثيودور روزفلت.,فرنسا,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ثيودور روزفلت يعيش في بلد نيبال.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد نيبال يعيش ثيودور روزفلت.,نيبال,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ثيودور روزفلت يعيش في بلد اليابان.

السؤال: في أي بلد يعيش ؟","السؤال: في أي بلد يعيش؟

الجواب: تيودور روزفلت يعيش في بلد اليابان.",اليابان,Arabic,"Response: The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
"التعليمات: أجب عن السؤال بناءً على الحقيقة المعطاة.
الحقيقة: ثيودور روزفلت يعيش في بلد أوكرانيا.

السؤال: في أي بلد يعيش ؟",السؤال: في بلد أوكرانيا.,أوكرانيا,Arabic,"Response: The assistant's response is in Arabic and aligns with the reference provided.

Rating: [[1]]"
